孕周数,妇间BMI情景,孕妇平均BMI,BMI个体内偏差,预测Y浓度,标准误,95%置信区间下限,95%置信区间上限,预测Y浓度百分比,下限百分比,上限百分比
14,平均BMI减2,30.405292124,0,0.0601764624716,0.0026396593127,0.0550027302187,0.0653501947245,6.01764624716,5.50027302187,6.53501947245
14.1428571429,平均BMI减2,30.405292124,0,0.0603019856352,0.00265127781502,0.0551054811177,0.0654984901526,6.03019856352,5.51054811177,6.54984901526
14.2857142857,平均BMI减2,30.405292124,0,0.0604292663687,0.00266499979168,0.055205866777,0.0656526659604,6.04292663687,5.5205866777,6.56526659604
14.4285714286,平均BMI减2,30.405292124,0,0.0605583845616,0.00268010604455,0.0553053767143,0.0658113924089,6.05583845616,5.53053767143,6.58113924089
14.5714285714,平均BMI减2,30.405292124,0,0.0606894201036,0.00269590349187,0.0554054492595,0.0659733909476,6.06894201036,5.54054492595,6.59733909476
14.7142857143,平均BMI减2,30.405292124,0,0.0608224528841,0.00271173402261,0.0555074541998,0.0661374515684,6.08224528841,5.55074541998,6.61374515684
14.8571428571,平均BMI减2,30.405292124,0,0.0609575627926,0.00272698154922,0.0556126789562,0.0663024466291,6.09575627926,5.56126789562,6.63024466291
15,平均BMI减2,30.405292124,0,0.0610948297188,0.00274107762631,0.0557223175712,0.0664673418664,6.10948297188,5.57223175712,6.64673418664
15.1428571429,平均BMI减2,30.405292124,0,0.0612343335522,0.00275350604896,0.0558374616962,0.0666312054081,6.12343335522,5.58374616962,6.66312054081
15.2857142857,平均BMI减2,30.405292124,0,0.0613761541822,0.0027638068546,0.0559590927472,0.0667932156172,6.13761541822,5.59590927472,6.67932156172
15.4285714286,平均BMI减2,30.405292124,0,0.0615203714985,0.00277158014228,0.0560880744196,0.0669526685773,6.15203714985,5.60880744196,6.69526685773
15.5714285714,平均BMI减2,30.405292124,0,0.0616670653906,0.00277649010435,0.056225144786,0.0671089859951,6.16670653906,5.6225144786,6.71089859951
15.7142857143,平均BMI减2,30.405292124,0,0.0618163157479,0.00277826964662,0.0563709072406,0.0672617242553,6.18163157479,5.63709072406,6.72617242553
15.8571428571,平均BMI减2,30.405292124,0,0.0619682024602,0.00277672595867,0.0565258195812,0.0674105853392,6.19682024602,5.65258195812,6.74105853392
16,平均BMI减2,30.405292124,0,0.0621228105808,0.00277174973322,0.0566901811037,0.067555440058,6.21228105808,5.66901811037,6.7555440058
16.1428571429,平均BMI减2,30.405292124,0,0.0622805350014,0.00276345882077,0.0568641557127,0.0676969142901,6.22805350014,5.68641557127,6.76969142901
16.2857142857,平均BMI减2,30.405292124,0,0.0624422508622,0.00275226193469,0.0570478174702,0.0678366842542,6.24422508622,5.70478174702,6.78366842542
16.4285714286,平均BMI减2,30.405292124,0,0.0626088746155,0.00273864038948,0.0572411394521,0.0679766097789,6.26088746155,5.72411394521,6.79766097789
16.5714285714,平均BMI减2,30.405292124,0,0.0627813227134,0.00272311677449,0.0574440138354,0.0681186315914,6.27813227134,5.74440138354,6.81186315914
16.7142857143,平均BMI减2,30.405292124,0,0.062960511608,0.00270624326577,0.0576562748071,0.0682647484089,6.2960511608,5.76562748071,6.82647484089
16.8571428571,平均BMI减2,30.405292124,0,0.0631473577516,0.00268859011051,0.057877721135,0.0684169943682,6.31473577516,5.7877721135,6.84169943682
17,平均BMI减2,30.405292124,0,0.0633427775962,0.00267073397364,0.0581081390079,0.0685774161846,6.33427775962,5.81081390079,6.85774161846
17.1428571429,平均BMI减2,30.405292124,0,0.0635476875941,0.00265324595215,0.0583473255279,0.0687480496603,6.35476875941,5.83473255279,6.87480496603
17.2857142857,平均BMI减2,30.405292124,0,0.0637630041973,0.00263667919245,0.0585951129801,0.0689308954145,6.37630041973,5.85951129801,6.89308954145
17.4285714286,平均BMI减2,30.405292124,0,0.063989643858,0.00262155618932,0.058851393727,0.0691278939891,6.3989643858,5.8851393727,6.91278939891
17.5714285714,平均BMI减2,30.405292124,0,0.0642285230284,0.00260835599543,0.0591161452774,0.0693409007795,6.42285230284,5.91161452774,6.93409007795
17.7142857143,平均BMI减2,30.405292124,0,0.0644805581607,0.00259750171572,0.0593894547979,0.0695716615235,6.44805581607,5.93894547979,6.95716615235
17.8571428571,平均BMI减2,30.405292124,0,0.0647466657069,0.00258934878323,0.0596715420918,0.069821789322,6.47466657069,5.96715420918,6.9821789322
18,平均BMI减2,30.405292124,0,0.0650277621192,0.00258417459244,0.059962779918,0.0700927443204,6.50277621192,5.9962779918,7.00927443204
18.1428571429,平均BMI减2,30.405292124,0,0.0653247638498,0.00258217008289,0.0602637104874,0.0703858172123,6.53247638498,6.02637104874,7.03858172123
18.2857142857,平均BMI减2,30.405292124,0,0.0656385873509,0.00258343380925,0.0605750570848,0.070702117617,6.56385873509,6.05750570848,7.0702117617
18.4285714286,平均BMI减2,30.405292124,0,0.0659701490745,0.0025879689032,0.0608977300243,0.0710425681248,6.59701490745,6.08977300243,7.10425681248
18.5714285714,平均BMI减2,30.405292124,0,0.0663203654729,0.00259568314205,0.0612328265145,0.0714079044313,6.63203654729,6.12328265145,7.14079044313
18.7142857143,平均BMI减2,30.405292124,0,0.0666901529981,0.0026063921158,0.0615816244512,0.0717986815451,6.66901529981,6.15816244512,7.17986815451
18.8571428572,平均BMI减2,30.405292124,0,0.0670804281024,0.00261982526235,0.0619455705882,0.0722152856166,6.70804281024,6.19455705882,7.22152856166
