模型代号,模型名称,重复轮次,折号,训练孕妇数,测试孕妇数,训练事件数,测试事件数,均方根误差_RMSE,平均绝对误差_MAE,折内决定系数_R2,收敛标志,优化器,警告或异常
调整线性_随机截距,临床调整线性模型（随机截距）,2,2,133,34,490,123,0.0383540796673,0.0271057092091,0.093934218273,1,powell,lbfgs:LinAlgError:Singular matrix
调整线性_随机截距,临床调整线性模型（随机截距）,2,3,133,34,490,123,0.0307861484824,0.0232921130145,0.141175544887,1,powell,lbfgs:LinAlgError:Singular matrix
调整线性_随机截距,临床调整线性模型（随机截距）,2,4,134,33,491,122,0.0364688191846,0.0240638487874,0.16252648098,1,powell,lbfgs:LinAlgError:Singular matrix
调整线性_随机截距,临床调整线性模型（随机截距）,2,5,133,34,490,123,0.0308043462624,0.0220444615289,-0.0533866830555,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,2,1,135,32,491,122,0.0280948305841,0.0220910313474,0.257733864278,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,2,2,133,34,490,123,0.0380749851566,0.0269575107225,0.107072738001,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,2,3,133,34,490,123,0.0305400682543,0.023427675518,0.15485020616,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,2,4,134,33,491,122,0.0357281989713,0.0237748502243,0.196196433344,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,2,5,133,34,490,123,0.0308479113872,0.0222353375479,-0.0563682995205,1,lbfgs,
二次交互_随机截距,低阶曲率交互模型（随机截距）,2,1,135,32,491,122,0.0279160144666,0.021934837515,0.267152447911,1,lbfgs,
二次交互_随机截距,低阶曲率交互模型（随机截距）,2,2,133,34,490,123,0.038134940255,0.0271199144208,0.104258412967,1,lbfgs,
二次交互_随机截距,低阶曲率交互模型（随机截距）,2,3,133,34,490,123,0.0302986888431,0.0232034486586,0.168157024859,1,lbfgs,
二次交互_随机截距,低阶曲率交互模型（随机截距）,2,4,134,33,491,122,0.0357670429007,0.0237767499526,0.194447682346,1,lbfgs,
二次交互_随机截距,低阶曲率交互模型（随机截距）,2,5,133,34,490,123,0.0318293248234,0.0228133166835,-0.124653355197,1,lbfgs,
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,2,1,135,32,491,122,0.0290749588957,0.0226263996724,0.205040450044,1,lbfgs,The MLE may be on the boundary of the parameter space.
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,2,2,133,34,490,123,0.0383191893695,0.0270866015894,0.0955819452534,1,lbfgs,The MLE may be on the boundary of the parameter space.
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,2,3,133,34,490,123,0.0308380660579,0.0233019685577,0.138276469673,1,lbfgs,The MLE may be on the boundary of the parameter space.
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,2,4,134,33,491,122,0.036541786041,0.0241029705417,0.159171892392,1,lbfgs,The MLE may be on the boundary of the parameter space.
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,2,5,133,34,490,123,0.0307863614864,0.0220293890258,-0.0521570258498,1,lbfgs,The MLE may be on the boundary of the parameter space.
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,2,1,135,32,491,122,0.0280429243204,0.0220343281261,0.260474060234,1,lbfgs,The MLE may be on the boundary of the parameter space.
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,2,2,133,34,490,123,0.0379938114847,0.0269504484335,0.110876018311,1,lbfgs,The MLE may be on the boundary of the parameter space.
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,2,3,133,34,490,123,0.0305685567971,0.0234307294875,0.153272716826,1,lbfgs,The MLE may be on the boundary of the parameter space.
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,2,4,134,33,491,122,0.0357302453953,0.0238005523257,0.196104350897,1,lbfgs,The MLE may be on the boundary of the parameter space.
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,2,5,133,34,490,123,0.0308187211958,0.0222207487218,-0.0543700440649,1,lbfgs,The MLE may be on the boundary of the parameter space.
空模型_随机截距,空模型（随机截距）,3,1,134,33,491,122,0.0499165788918,0.0350577426257,-0.133267209869,1,lbfgs,Random effects covariance is singular
空模型_随机截距,空模型（随机截距）,3,2,134,33,490,123,0.0309692814901,0.0243113796022,-0.024765351332,1,powell,lbfgs:LinAlgError:Singular matrix
空模型_随机截距,空模型（随机截距）,3,3,134,33,491,122,0.0331516408019,0.0244115900708,-0.0734263224729,1,powell,lbfgs:LinAlgError:Singular matrix
空模型_随机截距,空模型（随机截距）,3,4,133,34,490,123,0.0291919961364,0.0230487792768,-0.0490060159846,1,powell,lbfgs:LinAlgError:Singular matrix
空模型_随机截距,空模型（随机截距）,3,5,133,34,490,123,0.035505065149,0.0255504470466,-0.0053430792251,1,powell,lbfgs:LinAlgError:Singular matrix
核心线性_随机截距,核心线性模型（随机截距）,3,1,134,33,491,122,0.0485238731014,0.0341485001549,-0.0709115789147,1,powell,lbfgs:LinAlgError:Singular matrix
核心线性_随机截距,核心线性模型（随机截距）,3,2,134,33,490,123,0.0270694280479,0.0214006154507,0.217074689679,1,lbfgs,
核心线性_随机截距,核心线性模型（随机截距）,3,3,134,33,491,122,0.0307490730352,0.0227396253054,0.0765226659754,1,lbfgs,
核心线性_随机截距,核心线性模型（随机截距）,3,4,133,34,490,123,0.0247926409587,0.0192149347225,0.243348364234,1,lbfgs,
核心线性_随机截距,核心线性模型（随机截距）,3,5,133,34,490,123,0.032927639583,0.0240584743766,0.135321095407,1,lbfgs,
调整线性_随机截距,临床调整线性模型（随机截距）,3,1,134,33,491,122,0.0474318406504,0.0339803498641,-0.0232521227899,1,powell,lbfgs:LinAlgError:Singular matrix
调整线性_随机截距,临床调整线性模型（随机截距）,3,2,134,33,490,123,0.0262004146903,0.0203898261682,0.266536503745,1,lbfgs,
调整线性_随机截距,临床调整线性模型（随机截距）,3,3,134,33,491,122,0.0326994346144,0.0240046016441,-0.044341825509,1,powell,lbfgs:LinAlgError:Singular matrix
调整线性_随机截距,临床调整线性模型（随机截距）,3,4,133,34,490,123,0.0253456951207,0.0194659644,0.209214302063,1,lbfgs,
调整线性_随机截距,临床调整线性模型（随机截距）,3,5,133,34,490,123,0.0331927893163,0.0242015772619,0.121339377955,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,3,1,134,33,491,122,0.0470121155988,0.0338092394159,-0.00522270260775,1,powell,lbfgs:LinAlgError:Singular matrix
孕周二次_随机截距,孕周二次模型（随机截距）,3,2,134,33,490,123,0.0253772806064,0.0198649005234,0.311898764547,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,3,3,134,33,491,122,0.0322914867983,0.0240725087083,-0.0184466122926,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,3,4,133,34,490,123,0.02534509603,0.0197446682801,0.20925168488,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,3,5,133,34,490,123,0.0327576407168,0.0239235030468,0.144226378854,1,lbfgs,
二次交互_随机截距,低阶曲率交互模型（随机截距）,3,1,134,33,491,122,0.0476200789229,0.0345851659488,-0.0313900072248,1,powell,lbfgs:LinAlgError:Singular matrix
二次交互_随机截距,低阶曲率交互模型（随机截距）,3,2,134,33,490,123,0.0254976164199,0.0199217755802,0.305357516544,1,lbfgs,
二次交互_随机截距,低阶曲率交互模型（随机截距）,3,3,134,33,491,122,0.0319266854274,0.0238454896956,0.00443447124127,1,lbfgs,
二次交互_随机截距,低阶曲率交互模型（随机截距）,3,4,133,34,490,123,0.0254528592755,0.0199424576071,0.202513121968,1,lbfgs,
