自助序号,路线,真阳性,假阳性,假阴性,真阴性,灵敏度,特异度,精确率,F1分数,马修斯相关系数,平衡准确率,准确率,ROC曲线下面积,PR曲线下面积,实际异常比例,预测异常比例,布里尔分数,对数损失,校准截距,校准斜率,校准实际异常比例,校准平均预测概率
73,三标准差Z值规则基准,0.6000000000000001,7.145238095238095,20.683333333333334,118.57142857142857,0.028191072826938137,0.9431639552281207,0.07746695358130957,0.04133858267716536,-0.045117210401262875,0.4856775140275294,0.810689990281827,0.5612806991886438,0.16669178466933826,0.1447845804988662,0.05268869452542922,,,,,,
73,L1正则多因素逻辑回归,5.733333333333333,4.7,15.549999999999999,121.01666666666667,0.26938136256852,0.9626143444252949,0.549520766773163,0.3615344193378876,0.31791594072614116,0.6159978534969075,0.8622448979591837,0.7929284638231133,0.5170040632796845,0.1447845804988662,0.07097505668934241,0.09937492470263996,0.33926342128325926,-0.04565408582224878,0.7878719351931349,0.1447845804988662,0.11816638044264315
73,贝叶斯信息准则剪枝决策树,6.6000000000000005,11.304761904761904,14.683333333333334,114.41190476190476,0.3101018010963195,0.9100774606541543,0.3686170212765958,0.3368369888814631,0.2368935721695054,0.6100896308752369,0.8232102364755426,0.4207789202516385,0.17134375892650328,0.1447845804988662,0.12180110139293814,0.12594952342748214,0.4217490795999805,-0.7292873024041034,0.4809072110432077,0.1447845804988662,0.12069006193536641
74,三标准差Z值规则基准,0.6000000000000001,11.166666666666666,16.166666666666664,119.06666666666668,0.03578528827037774,0.9142564627591502,0.05099150141643061,0.042056074766355145,-0.05852252416068786,0.47502087551476396,0.8140589569160998,0.5097953117644035,0.11536186317874647,0.11405895691609977,0.0800453514739229,,,,,,
74,L1正则多因素逻辑回归,5.216666666666667,3.25,11.549999999999999,126.98333333333333,0.31113320079522866,0.9750447914000511,0.6161417322834646,0.4134742404227213,0.3904696676270816,0.6430889960976398,0.8993197278911564,0.8309855845365848,0.5373716757702298,0.11405895691609977,0.05759637188208617,0.07491123099296253,0.26742278714572537,0.06620960002397311,0.9627003314093933,0.11405895691609977,0.1045422451409025
74,贝叶斯信息准则剪枝决策树,4.5,9.714285714285715,12.266666666666666,120.51904761904763,0.26838966202783304,0.9254086072616914,0.3165829145728643,0.29050107592991087,0.2084472357634855,0.5968991346447622,0.8504697116942015,0.4535637558611187,0.15801365366036962,0.11405895691609977,0.0966958211856171,0.10062796457030641,0.34415948825497045,-0.7330199582674015,0.6036741986041885,0.11405895691609977,0.11292671896457684
75,三标准差Z值规则基准,0.8,11.69047619047619,15.783333333333333,118.72619047619048,0.04824120603015076,0.9103605659516202,0.06404879908501716,0.05503234788305626,-0.0469697447237729,0.4793008859908855,0.8131033365727244,0.5395851920487882,0.12671429437720289,0.11281179138321995,0.08496922578555231,,,,,,
75,L1正则多因素逻辑回归,3.4,3.5166666666666666,13.183333333333334,126.89999999999999,0.2050251256281407,0.973035143769968,0.491566265060241,0.2893617021276596,0.2660282958110271,0.5890301346990544,0.8863945578231291,0.7426977700001608,0.39831110583415336,0.11281179138321995,0.04705215419501133,0.08600788311048962,0.32637559433338376,-0.5695924966425086,0.6106360004403169,0.11281179138321995,0.10116025036227719
75,贝叶斯信息准则剪枝决策树,2.983333333333333,11.561904761904762,13.6,118.85476190476192,0.17989949748743717,0.9113464171611136,0.20510721885742347,0.19167813981948909,0.09667667080941415,0.5456229573242755,0.8288305798509881,0.3286834721301624,0.09901175568151119,0.11281179138321995,0.09894719792678977,0.11475917719178873,0.3894598940624323,-1.574058939964087,0.21099029294358962,0.11281179138321995,0.1124908233926696
76,三标准差Z值规则基准,0.6000000000000001,6.0023809523809515,16.333333333333332,124.06428571428572,0.03543307086614174,0.9538515047228528,0.09087630724846739,0.05098634294385433,-0.016517086758347538,0.4946422877944973,0.8480563654033042,0.5868445070711626,0.15780219334583168,0.11519274376417234,0.04491415613864593,,,,,,
76,L1正则多因素逻辑回归,5.916666666666666,2.4166666666666665,11.016666666666666,127.65,0.3494094488188977,0.9814197847257817,0.7100000000000001,0.4683377308707125,0.45673332211115747,0.6654146167723397,0.9086167800453514,0.825805779275028,0.5556711154650442,0.11519274376417234,0.05668934240362812,0.07338687261422784,0.26224050077665806,-0.04808624465171206,0.9858420987038023,0.11519274376417234,0.11715112539304456
76,贝叶斯信息准则剪枝决策树,7.249999999999999,10.845238095238097,9.683333333333334,119.22142857142858,0.42814960629921256,0.9166178516511679,0.40065789473684205,0.41394779771615003,0.3350147042401375,0.6723837289751903,0.8603498542274053,0.522413641384909,0.22414042916132929,0.11519274376417234,0.12309685779073534,0.09579391112883265,0.32837384017815363,-0.5894286428575642,0.7099313228946199,0.11519274376417234,0.12361665417836157
77,三标准差Z值规则基准,0.6000000000000001,7.314285714285716,14.666666666666666,124.41904761904762,0.03930131004366813,0.9444765760555235,0.07581227436823104,0.05176663927691044,-0.021927053370533963,0.4918889430495958,0.8504697116942015,0.5273723705046964,0.1143111656953424,0.10385487528344671,0.05383867832847424,,,,,,
77,L1正则多因素逻辑回归,4.8999999999999995,3.8666666666666667,10.366666666666667,127.86666666666667,0.3209606986899563,0.9706477732793521,0.55893536121673,0.4077669902912621,0.37566129580337926,0.6458042359846542,0.9031746031746033,0.817652065743381,0.5228138682228808,0.10385487528344671,0.05963718820861677,0.06945045238217198,0.2576499639949632,-0.13707186017558545,0.8916746634372762,0.10385487528344671,0.10007820233927818
77,贝叶斯信息准则剪枝决策树,6.216666666666667,9.41904761904762,9.05,122.31428571428572,0.40720524017467247,0.9284991324465007,0.3975940307598599,0.4023422451652669,0.3321845527377431,0.6678521863105866,0.8743602202785876,0.5049379989695434,0.2038598264888623,0.10385487528344671,0.10636540330417882,0.08442075819113072,0.29877877021501814,-0.37581986549074675,0.8321117254685209,0.10385487528344671,0.1092321063483078
78,三标准差Z值规则基准,0.2,8.385714285714286,12.083333333333332,126.3309523809524,0.01628222523744912,0.9377529559392728,0.023294509151414313,0.019167142042213352,-0.05423949803179359,0.47701759058836096,0.860754778101717,0.5622504453236358,0.10190683312273545,0.08356009070294783,0.058406219630709424,,,,,,
78,L1正则多因素逻辑回归,3.65,3.2,8.633333333333333,131.51666666666668,0.2971506105834464,0.976246443152295,0.5328467153284672,0.3815331010452962,0.3589391055371658,0.6366985268678707,0.9195011337868482,0.855952335189208,0.5261351938176898,0.08356009070294783,0.04659863945578231,0.056185760114115794,0.20554508724276863,0.10997519707583998,1.1475986263281408,0.08356009070294783,0.0919778864474252
