自助序号,剪枝树减逻辑回归_PR曲线下面积差,剪枝树减逻辑回归_ROC曲线下面积差,剪枝树减逻辑回归_对数损失差
294,-0.2909845540583157,-0.3526150954468097,0.054946419908449284
295,-0.33927563180131803,-0.31717769009247293,0.05334234447025954
296,-0.3375602310316143,-0.326651468126715,0.030031460795262283
297,-0.3704596540473683,-0.3007824742282138,0.06945113878484133
298,-0.36093700819195795,-0.35548879437006486,0.06522437030592099
299,-0.3229475135825609,-0.28092063226661745,0.042576967483125394
300,-0.27873682953505313,-0.38091410980691137,0.0572835344562207
301,-0.3625477834496008,-0.31936916351529165,0.0789334109416539
302,-0.374790659691082,-0.2543999726039189,0.03291195618815618
303,-0.2785439917822071,-0.23272078743531466,0.023566180138793025
304,-0.4143170584288882,-0.4930000364517419,0.11761124651294314
305,-0.28479587430777636,-0.27919288411795334,0.02892498674598093
306,-0.3470497545362692,-0.3729580037053427,0.07051567996844521
307,-0.34733083586831426,-0.34519855238560143,0.03576463004476654
308,-0.375404047886077,-0.3428112255927575,0.09407576093482856
309,-0.322577108260234,-0.3145748455059683,0.04522422329923653
310,-0.2559541772980236,-0.4073434908016575,0.047421087656199234
311,-0.43077747477359424,-0.308347619680867,0.08640972222626375
312,-0.3458738536549878,-0.37012349493044794,0.09557542424946336
313,-0.3606063850066444,-0.28762525830985997,0.04692536066016759
314,-0.30133881288454795,-0.3956893746276087,0.03742461838662697
315,-0.2907062099557038,-0.33234299683593654,0.06701462758174248
316,-0.3012695954277188,-0.3855718295789845,0.06003369859011737
317,-0.32232554940363844,-0.34782531485506846,0.05729748341721802
318,-0.3481168457129378,-0.37730658798433747,0.07483157869915419
319,-0.26813904530789506,-0.278881590560764,0.038425970723516556
320,-0.18927282448396401,-0.4073652173297133,0.03390480561697956
321,-0.40477748512763234,-0.40244355419644595,0.08597048086813919
322,-0.31044204110511797,-0.26236258218052655,0.04571631599752707
323,-0.3041257863630652,-0.38638602610387046,0.06215277123537477
324,-0.3756737389047796,-0.3239203625562498,0.05539003348914251
325,-0.3043516255019801,-0.3792595565067476,0.06139666141047384
326,-0.3321632751144083,-0.32707101681763057,0.05631497029581989
327,-0.3071736977422361,-0.19940235736700196,0.02401587750528339
328,-0.275450909382532,-0.39972876731438955,0.057668430064464093
329,-0.38321229510935784,-0.2534335653806771,0.05043993606392094
330,-0.23980862716895238,-0.31704974164359606,0.03902072312520238
