折数,随机种子,折号,候选模型,测试孕妇数,测试事件数,收敛,优化器,均方根误差_RMSE,平均绝对误差_MAE,决定系数_R2,异常或提示
10,20250825,1,原尺度二次随机斜率,17,59,1,lbfgs,0.024660100269058745,0.020845877112594596,-0.14335226230433085,
10,20250825,2,原尺度二次随机斜率,17,62,1,lbfgs,0.028553677195157782,0.024394740769176002,0.09832142501146801,
10,20250825,3,原尺度二次随机斜率,17,59,1,lbfgs,0.027574430458087128,0.022804498758213824,-0.5713393218627028,
10,20250825,4,原尺度二次随机斜率,17,67,1,lbfgs,0.027741208089707484,0.022368885591420435,-0.07168851347035488,
10,20250825,5,原尺度二次随机斜率,17,65,1,lbfgs,0.02832530607153519,0.020840937502333724,0.2740853607322812,
10,20250825,6,原尺度二次随机斜率,17,63,1,lbfgs,0.0424381316817624,0.031319404369990596,0.04256187286904589,
10,20250825,7,原尺度二次随机斜率,17,62,1,lbfgs,0.04841349034346759,0.034872154160657885,-0.02227789945049574,
10,20250825,8,原尺度二次随机斜率,16,61,1,lbfgs,0.02908108646795129,0.024223111889328297,0.1951890294947637,
10,20250825,9,原尺度二次随机斜率,16,54,1,lbfgs,0.02308281687843772,0.01760579456352968,0.22532856085787423,
10,20250825,10,原尺度二次随机斜率,16,61,1,lbfgs,0.03735603878737478,0.025821755520909578,0.12817983971494673,
10,20250825,1,logit线性随机斜率,17,59,1,lbfgs,0.021789578584299335,0.01771759885793405,0.10733595781334915,
10,20250825,2,logit线性随机斜率,17,62,1,lbfgs,0.02719186017438654,0.022836443681761603,0.18227835001442572,
10,20250825,3,logit线性随机斜率,17,59,1,lbfgs,0.024318070853769896,0.020159838376515547,-0.22212355769219205,
10,20250825,4,logit线性随机斜率,17,67,1,lbfgs,0.02890299675567731,0.022200702040937235,-0.16333175785026155,
10,20250825,5,logit线性随机斜率,17,65,1,lbfgs,0.029629435961458617,0.020367405805319413,0.20570267434600653,
10,20250825,6,logit线性随机斜率,17,63,1,lbfgs,0.046461534853195555,0.034546005246645035,-0.14758618401154244,
10,20250825,7,logit线性随机斜率,17,62,1,lbfgs,0.05087147164088719,0.035871810448774605,-0.1287162735471863,
10,20250825,8,logit线性随机斜率,16,61,1,lbfgs,0.03046153840315699,0.02355869326073674,0.11696829344610149,
10,20250825,9,logit线性随机斜率,16,54,1,lbfgs,0.02452149578693449,0.01837254131399281,0.1257536083766111,
10,20250825,10,logit线性随机斜率,16,61,1,lbfgs,0.03927464443376905,0.026704977829522886,0.03632676720712524,
10,20250825,1,logit二次随机截距,17,59,1,lbfgs,0.02221858789716693,0.01830005679293205,0.07183906215894431,
10,20250825,2,logit二次随机截距,17,62,1,powell,0.0266973266789,0.022511941334956508,0.21175139468764637,lbfgs:LinAlgError:Singular matrix
10,20250825,3,logit二次随机截距,17,59,1,lbfgs,0.024954367222538507,0.02028661419108667,-0.2869154066931874,
10,20250825,4,logit二次随机截距,17,67,1,lbfgs,0.028686592674351336,0.02242839108381931,-0.14597665205858856,
10,20250825,5,logit二次随机截距,17,65,1,lbfgs,0.02856358043238765,0.01922244477206133,0.26182110836498396,
10,20250825,6,logit二次随机截距,17,63,1,lbfgs,0.04550865369060713,0.03350804808445843,-0.1009971158396814,
10,20250825,7,logit二次随机截距,17,62,1,lbfgs,0.050589129788853986,0.03626075267575229,-0.11622206141063685,
10,20250825,8,logit二次随机截距,16,61,1,lbfgs,0.029357380938057724,0.02350579608222056,0.1798236375517469,
10,20250825,9,logit二次随机截距,16,54,1,lbfgs,0.023938405792834,0.018178934497069074,0.16683622046144564,
10,20250825,10,logit二次随机截距,16,61,1,lbfgs,0.03899012689564417,0.02713779289353512,0.050238481025707604,
10,20250825,1,logit二次随机斜率,17,59,1,lbfgs,0.022386739143367012,0.01845657618833551,0.057737176227962816,
10,20250825,2,logit二次随机斜率,17,62,1,lbfgs,0.026631295767582924,0.02245031662204479,0.21564574769606082,
10,20250825,3,logit二次随机斜率,17,59,1,lbfgs,0.024916906324921682,0.02024760327420128,-0.28305453370370137,
10,20250825,4,logit二次随机斜率,17,67,1,lbfgs,0.028819194775843257,0.02252152535788123,-0.1565955585740657,
10,20250825,5,logit二次随机斜率,17,65,1,lbfgs,0.028257074818600073,0.01893833596429723,0.2775783793162766,
10,20250825,6,logit二次随机斜率,17,63,1,lbfgs,0.04541943749536037,0.033429268348175244,-0.09668450789815464,
10,20250825,7,logit二次随机斜率,17,62,1,lbfgs,0.05055703628122498,0.036283230392518115,-0.11480625851904991,
10,20250825,8,logit二次随机斜率,16,61,1,lbfgs,0.029479309482306038,0.023638043560646478,0.1729966948719771,
10,20250825,9,logit二次随机斜率,16,54,1,lbfgs,0.02401634777523148,0.01819503131940685,0.16140192755262295,
10,20250825,10,logit二次随机斜率,16,61,1,lbfgs,0.038963024076151875,0.027116672971654616,0.0515584186838155,
10,20250825,1,logit样条随机斜率,17,59,1,lbfgs,0.02251092131821532,0.018547557079067422,0.04725447152369011,
10,20250825,2,logit样条随机斜率,17,62,1,lbfgs,0.02665839142888305,0.02247277807841639,0.21404887393273253,
10,20250825,3,logit样条随机斜率,17,59,1,lbfgs,0.02492139171023043,0.020240892608926937,-0.2835165101521189,
10,20250825,4,logit样条随机斜率,17,67,1,lbfgs,0.02882815113436737,0.022520077976539894,-0.1573145581314721,
10,20250825,5,logit样条随机斜率,17,65,1,lbfgs,0.028175590944717267,0.01889444288057527,0.2817388126361977,
10,20250825,6,logit样条随机斜率,17,63,1,lbfgs,0.04543952313854868,0.033474100975531794,-0.09765468654938259,
10,20250825,7,logit样条随机斜率,17,62,1,lbfgs,0.050600490407040025,0.03636032333342633,-0.11672344961650527,
10,20250825,8,logit样条随机斜率,16,61,1,lbfgs,0.029482812171488862,0.023628836452537025,0.17280015650829883,
10,20250825,9,logit样条随机斜率,16,54,1,lbfgs,0.023977694599612888,0.01818404788175012,0.1640991231533797,
10,20250825,10,logit样条随机斜率,16,61,1,lbfgs,0.03900794731323936,0.027195550314539005,0.049370106591115626,
