折数,随机种子,折号,候选模型,测试孕妇数,测试事件数,收敛,优化器,均方根误差_RMSE,平均绝对误差_MAE,决定系数_R2,异常或提示
6,20250824,6,logit二次随机斜率,27,99,1,lbfgs,0.04019421325827071,0.030493731298255826,0.0627787328746412,
6,20250824,1,logit样条随机斜率,28,103,1,lbfgs,0.028013484082862083,0.020256151214180833,0.14453609824937563,
6,20250824,2,logit样条随机斜率,28,101,1,lbfgs,0.028333057450326247,0.021824164520875676,0.13889883931735558,
6,20250824,3,logit样条随机斜率,28,109,1,lbfgs,0.036511290731803904,0.027284731699563115,0.0694740310916474,
6,20250824,4,logit样条随机斜率,28,97,1,lbfgs,0.02527213415903585,0.01964083614829632,0.16189251451091147,
6,20250824,5,logit样条随机斜率,28,104,1,lbfgs,0.03582330674598373,0.023558280344686357,0.23391503441036843,
6,20250824,6,logit样条随机斜率,27,99,1,lbfgs,0.04021964256033141,0.030522282608185326,0.06159247147869029,
6,20250825,1,原尺度二次随机斜率,28,98,1,lbfgs,0.02603081845211974,0.02192243640643977,-0.06281264265114017,
6,20250825,2,原尺度二次随机斜率,28,102,1,lbfgs,0.030444383761052417,0.025646207615847173,-0.09703536605032514,
6,20250825,3,原尺度二次随机斜率,28,109,1,lbfgs,0.025186302149473858,0.01870432461899757,0.2530814421711748,
6,20250825,4,原尺度二次随机斜率,28,101,1,powell,0.03971032813973652,0.030109221655120238,0.09311773241390142,lbfgs:未收敛
6,20250825,5,原尺度二次随机斜率,28,103,1,lbfgs,0.039817454775383905,0.02861286388963551,0.11020813357336712,
6,20250825,6,原尺度二次随机斜率,27,100,1,lbfgs,0.032089441714028985,0.022193437863212814,0.1993635733161394,
6,20250825,1,logit线性随机斜率,28,98,1,lbfgs,0.023585254378022693,0.019646626211179272,0.12750651096178833,
6,20250825,2,logit线性随机斜率,28,102,1,lbfgs,0.029116589707488528,0.02389412046100039,-0.00343042810371319,
6,20250825,3,logit线性随机斜率,28,109,1,lbfgs,0.026204240582943246,0.01807756833056111,0.19148591904188383,
6,20250825,4,logit线性随机斜率,28,101,1,lbfgs,0.043161538381332035,0.03254852758068588,-0.071365827050621,
6,20250825,5,logit线性随机斜率,28,103,1,lbfgs,0.04180047575848744,0.028843361655463185,0.019372901708579304,
6,20250825,6,logit线性随机斜率,27,100,1,lbfgs,0.03409910177622747,0.023148585328758804,0.09594073582047313,
6,20250825,1,logit二次随机截距,28,98,1,lbfgs,0.023688438295055268,0.019789343750520126,0.11985560959352559,
6,20250825,2,logit二次随机截距,28,102,1,lbfgs,0.02905396988743312,0.023684117360875497,0.0008810016056510772,
6,20250825,3,logit二次随机截距,28,109,1,lbfgs,0.025726781528169117,0.01778109240133305,0.22068084890268158,
6,20250825,4,logit二次随机截距,28,101,1,lbfgs,0.04234821429912006,0.03192719199130422,-0.031369211768801586,
6,20250825,5,logit二次随机截距,28,103,1,powell,0.0410602863200073,0.02863142343668312,0.05379467562836693,lbfgs:LinAlgError:Singular matrix
6,20250825,6,logit二次随机截距,27,100,1,lbfgs,0.03378424335687091,0.023527120272411117,0.11255914961844016,
6,20250825,1,logit二次随机斜率,28,98,1,lbfgs,0.02370349880076345,0.01983893264565976,0.11873610705987037,
6,20250825,2,logit二次随机斜率,28,102,1,lbfgs,0.029024884849056805,0.023648778069019757,0.002880375135600688,
6,20250825,3,logit二次随机斜率,28,109,1,lbfgs,0.02552223883177183,0.01761612130995171,0.2330236569982701,
6,20250825,4,logit二次随机斜率,28,101,1,lbfgs,0.042247523452439345,0.03185153788846166,-0.026470493836985742,
6,20250825,5,logit二次随机斜率,28,103,1,lbfgs,0.04117472215034164,0.028781162909747044,0.04851314007952012,
6,20250825,6,logit二次随机斜率,27,100,1,lbfgs,0.0337562310749903,0.023509585749365035,0.11403018668988518,
6,20250825,1,logit样条随机斜率,28,98,1,lbfgs,0.023837941506386955,0.019927165148073665,0.10871096248895129,
6,20250825,2,logit样条随机斜率,28,102,1,lbfgs,0.029022095813140157,0.02366669416146253,0.003071994764514141,
6,20250825,3,logit样条随机斜率,28,109,1,lbfgs,0.025485302709080913,0.017581890338003444,0.2352420073040291,
6,20250825,4,logit样条随机斜率,28,101,1,lbfgs,0.04229675618745788,0.03192959792484177,-0.02886426234603645,
6,20250825,5,logit样条随机斜率,28,103,1,lbfgs,0.041165621778916694,0.028767225710863684,0.0489336858169398,
6,20250825,6,logit样条随机斜率,27,100,1,lbfgs,0.03378655044847171,0.023575846533236456,0.11243794061469436,
7,20250824,1,原尺度二次随机斜率,24,87,1,lbfgs,0.029161168210963064,0.02195738648040017,0.0930161151373633,
7,20250824,2,原尺度二次随机斜率,24,93,1,lbfgs,0.02385814409067541,0.01914370860903852,0.31079682942551845,
7,20250824,3,原尺度二次随机斜率,24,87,1,lbfgs,0.03999520313145679,0.031540987685036895,-0.05680460263588416,
7,20250824,4,原尺度二次随机斜率,24,82,1,lbfgs,0.024688689798944726,0.01949742179759374,0.17330964387592773,
7,20250824,5,原尺度二次随机斜率,24,92,1,lbfgs,0.03893026645062724,0.02827083374558947,0.12953295202886417,
7,20250824,6,原尺度二次随机斜率,24,86,1,lbfgs,0.023019419973338305,0.01932228719107869,0.3548926067095455,
7,20250824,7,原尺度二次随机斜率,23,86,1,lbfgs,0.040096204552024936,0.03028312373874474,0.13995546767298128,
7,20250824,1,logit线性随机斜率,24,87,1,lbfgs,0.029116618483167902,0.02070843542463496,0.09578521003174323,
7,20250824,2,logit线性随机斜率,24,93,1,lbfgs,0.02583660484933413,0.01948792642207897,0.19175162805280999,
7,20250824,3,logit线性随机斜率,24,87,1,lbfgs,0.0420046721865055,0.0326487942036214,-0.16566587273922062,
7,20250824,4,logit线性随机斜率,24,82,1,lbfgs,0.022693522375658103,0.0170508958637043,0.3015254193922666,
7,20250824,5,logit线性随机斜率,24,92,1,lbfgs,0.03969949922709753,0.02741702007622012,0.09479354946438423,
7,20250824,6,logit线性随机斜率,24,86,1,lbfgs,0.024305201890372025,0.019354162179291576,0.2808131595629343,
7,20250824,7,logit线性随机斜率,23,86,1,lbfgs,0.042476207502668874,0.03157104927321675,0.034825416446082724,
7,20250824,1,logit二次随机截距,24,87,1,lbfgs,0.02856859945960801,0.020255123928438385,0.12950228619064652,
7,20250824,2,logit二次随机截距,24,93,1,lbfgs,0.02527552342928759,0.019393812698856372,0.2264751529140555,
7,20250824,3,logit二次随机截距,24,87,1,lbfgs,0.04198291228977651,0.03258152541463492,-0.16445847376332878,
7,20250824,4,logit二次随机截距,24,82,1,lbfgs,0.02219453740256375,0.01685557475211563,0.33190383269185886,
7,20250824,5,logit二次随机截距,24,92,1,lbfgs,0.03936527139906996,0.027062829902557314,0.10997115303020921,
7,20250824,6,logit二次随机截距,24,86,1,lbfgs,0.023266614558758544,0.018973024775861144,0.3409632135980626,
7,20250824,7,logit二次随机截距,23,86,1,powell,0.04181040115720944,0.031580415730852344,0.06484612368543097,lbfgs:LinAlgError:Singular matrix
7,20250824,1,logit二次随机斜率,24,87,1,lbfgs,0.028575301368860023,0.020264202461118607,0.12909381807591958,
7,20250824,2,logit二次随机斜率,24,93,1,lbfgs,0.025365493451790566,0.01944300525837948,0.2209585185642684,
7,20250824,3,logit二次随机斜率,24,87,1,lbfgs,0.04196414961839764,0.032583195865960424,-0.1634178851838386,
7,20250824,4,logit二次随机斜率,24,82,1,lbfgs,0.022248658950642094,0.016953966971580577,0.32864154481908847,
7,20250824,5,logit二次随机斜率,24,92,1,lbfgs,0.03951122657125471,0.027205957114922165,0.1033589726482822,
7,20250824,6,logit二次随机斜率,24,86,1,lbfgs,0.023142622233325298,0.018930439259782474,0.3479687678062444,
7,20250824,7,logit二次随机斜率,23,86,1,lbfgs,0.04175552902651208,0.03153657967623162,0.0672991120344466,
7,20250824,1,logit样条随机斜率,24,87,1,lbfgs,0.028601285641851555,0.020296727822451253,0.1275092221583406,
7,20250824,2,logit样条随机斜率,24,93,1,lbfgs,0.025358981704609717,0.01941409138643632,0.2213584532257573,
7,20250824,3,logit样条随机斜率,24,87,1,lbfgs,0.04193598819429174,0.032608519005694066,-0.16185690938612884,
7,20250824,4,logit样条随机斜率,24,82,1,lbfgs,0.022167762062788532,0.016949226262799887,0.33351483374802904,
7,20250824,5,logit样条随机斜率,24,92,1,lbfgs,0.03967627650651227,0.027462378240967894,0.09585226347985953,
7,20250824,6,logit样条随机斜率,24,86,1,lbfgs,0.02323689402917358,0.018988332224927264,0.3426458315993852,
7,20250824,7,logit样条随机斜率,23,86,1,lbfgs,0.04179172727275398,0.03156981367794427,0.06568127738830543,
7,20250825,1,原尺度二次随机斜率,24,82,1,lbfgs,0.026950729670943363,0.022576381648466204,-0.24148130659030298,
7,20250825,2,原尺度二次随机斜率,24,90,1,lbfgs,0.02791256489079451,0.02333158141921464,-0.051419346652056275,
7,20250825,3,原尺度二次随机斜率,24,91,1,lbfgs,0.030725170315640347,0.0241223417084674,-0.00209445610200909,
7,20250825,4,原尺度二次随机斜率,24,88,1,lbfgs,0.02869380130020182,0.020854639947377972,0.33398491846675504,
7,20250825,5,原尺度二次随机斜率,24,90,1,lbfgs,0.04884677717270153,0.03619793975894964,-0.13503639541561507,
7,20250825,6,原尺度二次随机斜率,24,87,1,lbfgs,0.028517926216674695,0.022827518887407392,0.1507606877697395,
7,20250825,7,原尺度二次随机斜率,23,85,1,lbfgs,0.033082346052912305,0.02263975339805266,0.17742157757345567,
7,20250825,1,logit线性随机斜率,24,82,1,lbfgs,0.024527104684836168,0.020302965832886037,-0.0282333795639631,
7,20250825,2,logit线性随机斜率,24,90,1,lbfgs,0.025439147506594643,0.02106667577495389,0.12666356374039123,
7,20250825,3,logit线性随机斜率,24,91,1,lbfgs,0.03229694509869635,0.024105005078633772,-0.10724302232582872,
7,20250825,4,logit线性随机斜率,24,88,1,lbfgs,0.030813324665415406,0.021634108797905376,0.23195792841002383,
7,20250825,5,logit线性随机斜率,24,90,1,lbfgs,0.05189655875657256,0.03791624742126343,-0.2811945405505547,
7,20250825,6,logit线性随机斜率,24,87,1,lbfgs,0.02998035380177842,0.022672764362233963,0.06142773787084843,
7,20250825,7,logit线性随机斜率,23,85,1,lbfgs,0.03460172563232382,0.02316567019876303,0.10012905622759327,
7,20250825,1,logit二次随机截距,24,82,1,lbfgs,0.024726287131918972,0.0205479389493302,-0.045001575339553845,
7,20250825,2,logit二次随机截距,24,90,1,lbfgs,0.025663095849343082,0.02098796641372055,0.11121940377319661,
7,20250825,3,logit二次随机截距,24,91,1,lbfgs,0.03186787345114739,0.02393120932754775,-0.07801853844900664,
7,20250825,4,logit二次随机截距,24,88,1,lbfgs,0.02968162972075617,0.020575707841450283,0.28733837071430757,
