自助序号,异常类型,路线,真阳性,假阳性,假阴性,真阴性,灵敏度,特异度,精确率,F1分数,马修斯相关系数,平衡准确率,准确率,ROC曲线下面积,PR曲线下面积,实际异常比例,预测异常比例,布里尔分数,对数损失,校准截距,校准斜率,校准实际异常比例,校准平均预测概率
173,T13,L1正则多因素逻辑回归,1.5,3.65,4.716666666666667,137.13333333333333,0.24128686327077747,0.9740736356102758,0.2912621359223301,0.26392961876832843,0.23572311776659596,0.6076802494405267,0.9430839002267574,0.6963604863216099,0.25823862787251034,0.04229024943310657,0.03503401360544218,0.03647669953176971,0.16287085272691043,-0.9724572019505864,0.615445895282529,0.04229024943310657,0.04136686351971775
173,T18,对应染色体三标准差Z值规则,0.0,5.519047619047619,13.483333333333333,127.99761904761904,0.0,0.9586639798848013,0.0,,-0.06276448623969955,0.47933198994240067,0.8707321023647554,0.5510351411491055,0.1092893375057833,0.09172335600907029,0.03754454162617428,,,,,,
173,T18,L1正则多因素逻辑回归,4.5,2.75,8.983333333333334,130.76666666666665,0.3337453646477132,0.9794033204344027,0.6206896551724138,0.4340836012861736,0.4174188499090975,0.656574342541058,0.9201814058956915,0.8300627075701337,0.551223273291048,0.09172335600907029,0.04931972789115646,0.058748983749480295,0.23263063033655657,-0.16933223354613272,0.7194782583998605,0.09172335600907029,0.07360635387563413
173,T21,对应染色体三标准差Z值规则,0.0,0.0,4.166666666666666,142.83333333333331,0.0,1.0,,,,0.5,0.971655328798186,0.389137856309385,0.027037499191826023,0.028344671201814053,0.0,,,,,,
173,T21,L1正则多因素逻辑回归,1.0,0.0,3.1666666666666665,142.83333333333331,0.24000000000000005,1.0,1.0,0.3870967741935485,0.48455600352069245,0.62,0.9784580498866213,0.7279829971661946,0.3005696986855366,0.028344671201814053,0.006802721088435374,0.022661414192786562,0.1072840812659864,0.9298767077457148,1.2531740907022948,0.028344671201814053,0.025903136973521396
174,T13,对应染色体三标准差Z值规则,0.2,1.2166666666666668,3.9833333333333334,141.6,0.04780876494023904,0.991480919593885,0.1411764705882353,0.07142857142857142,0.06687126771200379,0.519644842267062,0.9646258503401359,0.4003566614790524,0.044813113746826574,0.028458049886621317,0.00963718820861678,,,,,,
174,T13,L1正则多因素逻辑回归,0.75,3.9,3.4333333333333336,138.91666666666669,0.1792828685258964,0.9726922628077955,0.16129032258064516,0.16981132075471697,0.1443836434925504,0.575987565666846,0.9501133786848072,0.6907735412151635,0.31621205564905147,0.028458049886621317,0.031632653061224494,0.023957348270763977,0.11719051649583626,-1.0283029431431914,0.7269818425906511,0.028458049886621317,0.037232136909868846
174,T18,对应染色体三标准差Z值规则,0.0,4.059523809523809,11.616666666666667,131.32380952380953,0.0,0.9700145969997012,0.0,,-0.049364881247694316,0.4850072984998506,0.8933592484612893,0.5531233166272698,0.08840946182325506,0.0790249433106576,0.027615808228053124,,,,,,
174,T18,L1正则多因素逻辑回归,3.15,2.4166666666666665,8.466666666666667,132.96666666666667,0.2711621233859397,0.9821494521728427,0.5658682634730539,0.3666343355965082,0.35801803510065555,0.6266557877793912,0.9259637188208617,0.8503860644133645,0.5552610184192315,0.0790249433106576,0.03786848072562358,0.05069707101992534,0.19513520552909572,-0.016441420773856897,0.8541077739405468,0.0790249433106576,0.06619393493832428
174,T21,对应染色体三标准差Z值规则,0.0,0.0,2.833333333333333,144.16666666666669,0.0,1.0,,,,0.5,0.9807256235827664,0.47443338028853166,0.021391970758634207,0.01927437641723356,0.0,,,,,,
174,T21,L1正则多因素逻辑回归,0.25,0.5,2.583333333333333,143.66666666666669,0.08823529411764706,0.9965317919075144,0.3333333333333333,0.13953488372093023,0.16357990399275488,0.5423835430125807,0.9790249433106575,0.4144032641958517,0.11012998014430922,0.01927437641723356,0.00510204081632653,0.018174764156324186,0.10132303764925304,-4.0265763485910275,-0.023780908151594955,0.01927437641723356,0.021884446253075805
175,T13,对应染色体三标准差Z值规则,0.4,2.35,4.983333333333333,139.26666666666665,0.07430340557275542,0.983405907967518,0.14545454545454548,0.09836065573770492,0.08000266799236254,0.5288546567701368,0.9501133786848074,0.3696359882877723,0.049439697748729285,0.03662131519274376,0.01870748299319728,,,,,,
175,T13,L1正则多因素逻辑回归,1.4166666666666665,2.7,3.966666666666667,138.91666666666666,0.2631578947368421,0.980934447452042,0.34412955465587036,0.29824561403508765,0.2778902672797141,0.622046171094442,0.9546485260770974,0.6295599711363641,0.3039147268099227,0.03662131519274376,0.028004535147392286,0.030908845300933324,0.15319137011869985,-1.3445082472991914,0.5359906170481241,0.03662131519274376,0.03902649627128458
175,T18,对应染色体三标准差Z值规则,0.0,3.2857142857142856,13.583333333333334,130.13095238095238,0.0,0.9753725350227537,0.0,,-0.04824619456337902,0.48768626751137684,0.8852445740200842,0.6059923546906759,0.12031824998907727,0.09240362811791382,0.02235179786200194,,,,,,
175,T18,L1正则多因素逻辑回归,4.5,4.416666666666666,9.083333333333334,129.0,0.3312883435582822,0.9668956901936291,0.5046728971962617,0.39999999999999997,0.36176013791943984,0.6490920168759556,0.9081632653061225,0.831030824840522,0.49955037513541833,0.09240362811791382,0.06065759637188208,0.06386122132908935,0.23837533148318552,-0.28063789588219473,0.6991266161343178,0.09240362811791382,0.07733474964735315
175,T21,对应染色体三标准差Z值规则,0.0,0.0,4.416666666666666,142.58333333333331,0.0,1.0,,,,0.5,0.9699546485260772,0.5275595835414103,0.04232668906401593,0.0300453514739229,0.0,,,,,,
175,T21,L1正则多因素逻辑回归,0.9166666666666666,0.5,3.4999999999999996,142.08333333333331,0.20754716981132076,0.9964932787843367,0.6470588235294118,0.3142857142857143,0.35654002949400404,0.6020202242978288,0.9727891156462585,0.6186757322604172,0.26011882033836886,0.0300453514739229,0.00963718820861678,0.024938633346073037,0.12297280250242398,-0.019119466788857613,0.9492997510647275,0.0300453514739229,0.026225802479728482
176,T13,对应染色体三标准差Z值规则,0.2,5.35952380952381,3.3000000000000003,138.1404761904762,0.05714285714285714,0.9626514020242244,0.035974304068522485,0.044152431011826546,0.015819529866496623,0.5098971295835407,0.9410916747651441,0.5167388813829826,0.030916675156152304,0.023809523809523808,0.03781988986070619,,,,,,
