概率阈值,真阳性,假阳性,假阴性,真阴性,灵敏度,特异度,精确率,F1分数,马修斯相关系数,平衡准确率,准确率,阳性判定比例,马修斯相关系数最大参考点标志
0.10220310648391624,12.516666666666666,35.75476190476191,4.35,94.37857142857143,0.742094861660079,0.7252451697892273,0.25929762257078026,0.3843117186928869,0.3171577946180281,0.7336700157246532,0.7271784904437966,0.328377065111759,0
0.10051680522723923,12.516666666666666,35.89761904761905,4.35,94.23571428571428,0.742094861660079,0.7241473946135831,0.2585325071309137,0.3834707126705084,0.31617445735226146,0.7331211281368311,0.7262066731454486,0.3293488824101069,0
0.10042100791729892,12.516666666666666,36.14761904761905,4.35,93.98571428571428,0.742094861660079,0.7222262880562061,0.25720436420568515,0.38200777531519087,0.3144608321310778,0.7321605748581426,0.7245059928733397,0.33104956268221575,0
0.10001080673192174,12.516666666666666,36.34761904761905,4.35,93.78571428571428,0.742094861660079,0.7206894028103045,0.2561516347512547,0.3808454377512949,0.3130964695706194,0.7313921322351917,0.7231454486556527,0.3324101068999028,0
0.09942032113029176,12.516666666666666,36.54761904761905,4.35,93.58571428571429,0.742094861660079,0.7191525175644029,0.2551074877468821,0.37969015203495715,0.3117378471159221,0.7306236896122409,0.7217849044379657,0.33377065111758986,0
0.09940254132174786,12.516666666666666,36.74761904761905,4.35,93.38571428571429,0.742094861660079,0.7176156323185012,0.2540718186651201,0.37854185418541847,0.3103849000526317,0.72985524698929,0.7204243602202786,0.3351311953352769,0
0.09871743630056777,12.516666666666666,36.91428571428571,4.35,93.21904761904763,0.742094861660079,0.7163348946135832,0.25321516304609604,0.37759023163943256,0.30926173343707936,0.7292148781368311,0.719290573372206,0.3362649821833495,0
0.09870546230471691,12.516666666666666,37.16428571428572,4.35,92.96904761904761,0.742094861660079,0.7144137880562061,0.2519409565800824,0.37617173524150266,0.3075842104055855,0.7282543248581426,0.7175898931000971,0.33796566245545834,0
0.09864136749211967,12.516666666666666,37.41428571428572,4.35,92.71904761904761,0.742094861660079,0.712492681498829,0.2506795097992465,0.37476385671003376,0.3059152517427073,0.7272937715794541,0.7158892128279883,0.3396663427275672,0
0.09862469447461421,12.516666666666666,37.58095238095238,4.35,92.55238095238096,0.742094861660079,0.7112119437939111,0.2498455396606625,0.3738311111111111,0.30480731148076307,0.7266534027269951,0.7147554259799158,0.34080012957563977,0
0.0957897020875635,12.516666666666666,37.83095238095238,4.35,92.30238095238096,0.742094861660079,0.7092908372365341,0.248604937103944,0.37244066595820047,0.30315236196292966,0.7256928494483066,0.7130547457078069,0.3425008098477486,0
0.09564250448578092,12.516666666666666,37.97380952380953,4.35,92.1595238095238,0.742094861660079,0.7081930620608899,0.2479015373007639,0.37165075998586067,0.3022103878670025,0.7251439618604845,0.712082928409459,0.3434726271460965,0
