删去孕妇,被删事件数,收敛标志,孕周效应_百分点,妇间BMI效应_百分点,BMI个体内效应_百分点,孕周效应变化_百分点,妇间BMI效应变化_百分点,BMI个体内效应变化_百分点,孕周系数变化_主模型标准误,妇间BMI系数变化_主模型标准误,BMI个体内系数变化_主模型标准误,最大标准化系数变化,最大相对变化,任一核心效应方向翻转标志,警告或异常
A128,3,1,0.360431696348,-0.191293094266,-0.081713174594,0.00226542226033,-0.000274843211999,-0.00641134038976,0.0451080093005,-0.00236771811859,-0.0526451095463,0.0526451095463,0.0851418887403,0,The MLE may be on the boundary of the parameter space.
A054,4,1,0.359781213357,-0.193567481593,-0.0705819530813,0.00161493927011,-0.00254923053909,0.0047198811229,0.0471762944411,-0.0517095302115,0.0389952802168,0.0517095302115,0.0626794974224,0,The MLE may be on the boundary of the parameter space.
A137,4,1,0.360682222967,-0.192555683261,-0.0742975043933,0.00251594888009,-0.00153743220708,0.0010043298109,0.0508114422847,-0.0220607714431,0.00970469112382,0.0508114422847,0.0133373884117,0,The MLE may be on the boundary of the parameter space.
A115,4,1,0.357108473438,-0.192907247296,-0.0693585160852,-0.00105780064938,-0.00188899624142,0.00594331811902,0.0181355056237,-0.038310057409,0.0491709596,0.0491709596,0.0789266049337,0,The MLE may be on the boundary of the parameter space.
A067,4,1,0.357172187736,-0.191319654568,-0.0777577835541,-0.000994086351443,-0.000301403514125,-0.00245594934985,-0.0488843331585,-0.00214474973314,-0.0197195889535,0.0488843331585,0.0326147347645,0,The MLE may be on the boundary of the parameter space.
A047,4,1,0.357889116801,-0.188177498001,-0.0760404541365,-0.000277157286419,0.00284075305304,-0.000738619932263,-0.010564224863,0.047758533528,-0.0076128709761,0.047758533528,0.0148716315711,0,The MLE may be on the boundary of the parameter space.
A021,3,1,0.359047075339,-0.191895232084,-0.0804428428276,0.000880801251872,-0.000876981029943,-0.00514100862339,0.0473064607825,-0.0248639834942,-0.0439395857956,0.0473064607825,0.0682720238853,0,The MLE may be on the boundary of the parameter space.
A031,4,1,0.361054696142,-0.192391919834,-0.0801696712296,0.00288842205442,-0.00137366877934,-0.00486783702544,0.0471848994359,-0.0207528099822,-0.0392375726007,0.0471848994359,0.0646443353855,0,The MLE may be on the boundary of the parameter space.
A077,2,1,0.358547574882,-0.189134486646,-0.0714901940761,0.000381300795076,0.00188376440843,0.00381164012809,0.00760049113369,0.0459626797483,0.0329255394821,0.0459626797483,0.0506181578228,0,The MLE may be on the boundary of the parameter space.
A065,4,1,0.355251623851,-0.190543308361,-0.0722178289332,-0.00291465023663,0.000474942692944,0.00308400527101,-0.0455320547266,0.00342012657768,0.0246198378692,0.0455320547266,0.0409552476855,0,The MLE may be on the boundary of the parameter space.
A032,4,1,0.355970778527,-0.191045487052,-0.0716965410646,-0.00219549556047,-2.72359972445e-05,0.00360529313963,-0.0443707225613,0.00403622481683,0.0306062642094,0.0443707225613,0.0478778927198,0,The MLE may be on the boundary of the parameter space.
A084,4,1,0.357998054939,-0.188622893657,-0.0749093069356,-0.000168219148216,0.00239535739757,0.000392527268628,0.0311043565523,0.0435014757255,0.00255610634321,0.0435014757255,0.01253993995,0,The MLE may be on the boundary of the parameter space.
A093,4,1,0.355765905138,-0.191467727699,-0.0700924086826,-0.00240036894934,-0.000449476644919,0.00520942552163,-0.0126506067282,-0.00691060561994,0.0434987556828,0.0434987556828,0.0691805926998,0,The MLE may be on the boundary of the parameter space.
