自助序号,有效标志,BMI每增加1单位的时间尺度倍数,一组方案贝叶斯信息准则,两组方案贝叶斯信息准则,贝叶斯信息准则选择两组标志,两组切点,两组低BMI组人数,两组高BMI组人数,一组方案中位达标时间_天,两组低BMI组中位达标时间_天,两组高BMI组中位达标时间_天
285,1,1.026178032710746,254.70004279321043,263.16957175596576,0,36.067052364999995,148,19,70,70,82
286,1,1.0304633154730443,345.7487520140346,348.85434437666805,0,30.119388739999998,61,106,72,70,82
287,1,1.0125681947783751,263.7841958632869,272.55388124203614,0,28.05573339,3,164,70,103,70
288,1,1.0446530117090498,264.5708541966027,260.9664998041345,1,40.14632793,161,6,70,70,137
289,1,1.0120315206952293,342.8322553212975,342.4431325498782,1,31.939963215,92,75,76,70,87
290,1,1.0330299109389651,316.34546036373195,315.66624152164354,1,36.09730783,145,22,70,70,97
291,1,1.0317646289908984,275.1272843802413,283.7400612630259,0,36.09730783,152,15,70,70,84
292,1,1.0265807056093241,313.1365096636505,303.1515608038654,1,36.09730783,138,29,74,70,103
293,1,1.0317333684415746,321.1776072571251,322.9007750834805,0,32.93975158,102,65,73,70,86
294,1,1.0172498235357097,287.3462149668969,290.300075983824,0,28.129328255,8,159,70,108,70
295,1,1.0088262972017874,247.7380152570558,257.9740028818893,0,27.260197665,1,166,70,70,70
296,1,1.0310591424052318,268.2788834957811,274.6479720577918,0,36.999319045,155,12,70,70,94
297,1,1.0392720274436213,340.7526620239416,333.02340986295434,1,36.999319045,151,16,77,72,117
298,1,1.0190417176174162,320.9405422154438,317.21029241782446,1,36.8111298,152,15,73,70,111
299,1,1.0243542467638977,286.7599901299855,290.49134993421194,0,40.635610400000004,164,3,70,70,133
300,1,1.0309006649637331,302.29146345593006,303.31964003024177,0,36.09730783,151,16,71,70,99
301,1,1.0378704719917071,324.3837478701831,319.10282781643065,1,36.8111298,153,14,72,70,112
302,1,1.0200614999901014,276.77875220727157,281.63908138915315,0,36.999319045,158,9,70,70,105
303,1,1.0549865536047272,302.00428455845315,288.41388926686045,1,36.067052364999995,143,24,70,70,107
304,1,1.0641552177208928,276.62238190881743,282.6047356431603,0,33.332582615,120,47,70,70,85
305,1,1.0432528856294956,300.1226483625562,302.2433678242593,0,36.999319045,152,15,70,70,99
306,1,1.0106177888243097,287.22239076068416,290.6943408793487,0,30.119388739999998,63,104,77,70,81
307,1,1.0402861642110128,268.6063837273685,272.39873260511087,0,45.92884948,165,2,70,70,175
308,1,1.0469410581024932,325.76307890178913,328.96404039293884,0,31.247618505,101,66,70,70,85
309,1,1.0376538493009158,291.1267243122308,294.0083321515501,0,36.8111298,155,12,70,70,103
310,1,1.0452011074442318,332.00827941292073,332.59410693673016,0,36.09730783,152,15,73,70,105
311,1,1.0070807995097053,342.27681618356826,346.7999274704398,0,28.129328255,6,161,72,112,71
312,1,1.017221677299536,264.42216786867766,269.1048156078805,0,28.05573339,5,162,70,101,70
313,1,1.0365619127428554,323.62850620074124,327.2012173125987,0,37.0437363,155,12,70,70,106
314,1,1.0133005049493649,333.4839176806007,338.86699804985193,0,30.11780753,59,108,74,70,80
315,1,1.0325696870258405,340.7750710885238,343.33747431670844,0,36.8111298,154,13,70,70,110
316,1,1.0018039579975757,364.1563154293907,367.0832937203278,0,31.430195355000002,93,74,76,70,87
317,1,1.0427873116265831,301.23034051488634,300.1203902202086,1,36.09730783,146,21,70,70,102
318,1,1.0445804572703885,278.13659688923383,283.26217717913715,0,36.999319045,152,15,70,70,100
319,1,1.0358524122816613,364.4351973843394,361.1480708146365,1,31.743230699999998,87,80,79,70,90
320,1,1.0088262498907334,348.4819948399977,355.4386040927994,0,37.0437363,155,12,71,70,94
321,1,1.0315618558532167,301.93568037841715,299.32643575889966,1,40.635610400000004,163,4,75,73,154
322,1,1.0417069245142458,327.3155984319521,322.92940823404473,1,36.999319045,154,13,74,71,119
323,1,1.0358501701621357,345.0141384721339,339.3226775640525,1,36.999319045,149,18,77,73,109
324,1,1.0278858014766745,313.7801167576749,311.56657770897885,1,37.0437363,149,18,74,71,100
325,1,1.0134596247705907,287.8174606377717,292.936287094775,0,28.087017325,3,164,70,119,70
326,1,1.0306111396595825,284.1976687605849,285.49661237537475,0,36.738591400000004,150,17,70,70,102
327,1,1.0372450343988562,296.45198364766367,297.09491230328695,0,36.8111298,148,19,72,70,95
328,1,1.0297912146238692,313.63781097008723,315.8449912580469,0,31.743230699999998,95,72,71,70,82
329,1,1.0628977354686315,341.3972839511395,335.7106875278871,1,31.743230699999998,86,81,73,70,88
330,1,1.034298236862082,321.5291486825497,322.56190546894624,0,36.067052364999995,150,17,72,70,102
331,1,1.0270632885691904,340.21788046615694,337.13383648696,1,36.09730783,153,14,72,70,111
332,1,1.0200418018302257,328.20501966876526,324.36034217224443,1,45.92884948,163,4,75,74,175
333,1,1.041827780009037,263.88464511655513,266.22158812455825,0,36.8111298,143,24,70,70,95
334,1,1.0342398715262686,315.7589943728087,318.2262044651439,0,40.635610400000004,164,3,72,71,154
335,1,1.02629463207878,323.677932312596,324.1820894714763,0,36.116941345,146,21,72,70,94
336,1,1.035069725282663,319.2466696503523,322.35785390220906,0,37.0437363,153,14,72,70,98
337,1,1.0244881539768378,299.60201769083113,300.4801222497082,0,36.09730783,142,25,73,70,92
338,1,1.0333852915878294,316.2285744113277,311.62816599800215,1,36.999319045,149,18,71,70,110
339,1,1.0167718705413205,270.5070263879754,274.41025419400256,0,40.635610400000004,162,5,70,70,114
340,1,1.0185420300539696,272.41278234940273,274.8366104704171,0,39.23097769500001,163,4,71,70,110
341,1,1.0281934640378623,359.60002793248736,357.93256842203925,1,32.99156095,114,53,77,70,93
342,1,1.0561837942129253,338.4246899248133,325.72388546245907,1,36.067052364999995,143,24,74,70,112
343,1,1.0257338314776474,324.21303021844165,324.78521203190604,0,36.999319045,152,15,70,70,115
344,1,0.9952746349800652,306.24790956873983,313.58288385780196,0,23.661234195,3,164,71,102,70
345,1,1.0252559645980859,344.30078870920227,346.0263069571405,0,36.8111298,159,8,73,70,116
346,1,1.015941531143716,292.3187478949043,292.1439960696358,1,40.635610400000004,162,5,73,72,123
347,1,1.023545906793377,329.8214263351222,330.69469712183866,0,31.408654215,87,80,79,71,87
348,1,1.0236622740688432,323.13887482399565,324.46135852638156,0,36.086685880000005,152,15,71,70,106
349,1,1.0585860832089349,313.8734010584491,319.4309300312288,0,36.8111298,151,16,70,70,101
350,1,1.021380759215663,307.6754788998185,307.8505699856146,0,30.97200247,96,71,75,70,84
351,1,1.0290405028935277,303.8671280872357,305.9510023097545,0,36.09730783,152,15,72,70,99
352,1,1.0318906805298182,295.6775565113535,296.34710969044363,0,36.09730783,153,14,70,70,103
353,1,1.037241899885457,316.7166478639138,318.63751812626754,0,36.8111298,156,11,70,70,116
354,1,1.027398621452245,303.7538777743967,294.1351771895131,1,36.09730783,139,28,78,73,98
355,1,1.008144586737334,324.6994639725971,330.1166160188088,0,31.021087095,90,77,76,70,83
356,1,1.0359776209523162,335.8087830869283,323.6536922838414,1,36.999319045,154,13,77,72,125
357,1,1.0299843203799273,333.96932545345453,331.12824299323233,1,32.93975158,112,55,76,70,91
358,1,1.0162996545652052,366.83564140970503,369.9469919442455,0,31.939963215,96,71,74,70,86
359,1,1.0102287557879226,304.2677979502357,311.22361649986266,0,40.14632793,165,2,70,70,121
360,1,1.0338363575305454,320.0155089062825,323.7031631079322,0,36.09730783,149,18,70,70,98
361,1,1.0529410796335434,302.2246108067215,294.5363765749378,1,36.09730783,151,16,70,70,112
362,1,1.0200836762867067,332.58403928956784,335.8511014497005,0,45.92884948,165,2,76,76,175
363,1,1.0397919192367104,351.4266578742196,348.46381372234754,1,36.999319045,154,13,72,70,121
364,1,1.0614309684470828,292.4891339930253,287.17926410092343,1,36.09730783,150,17,70,70,104
365,1,1.0497910581730365,266.71999366263435,271.83193841441545,0,36.999319045,151,16,70,70,96
366,1,1.0282527026580248,280.6310207133193,276.7310851389442,1,37.0437363,160,7,73,71,121
367,1,1.0437295308084358,272.51385723314775,269.5863506427763,1,36.999319045,152,15,70,70,102
368,1,1.0275774437954557,329.2113170430798,321.46460582947503,1,36.999319045,148,19,78,74,109
369,1,1.0377421997587295,301.302230645805,305.29343745821416,0,36.999319045,154,13,70,70,103
370,1,1.0431788083170581,354.51197099914395,346.04067159425495,1,36.999319045,151,16,78,73,120
371,1,1.0258074637340666,353.53597409564975,350.4703359735397,1,33.03754866,111,56,77,70,92
372,1,1.0150503468558225,276.97749031987286,286.875231770607,0,36.999319045,158,9,70,70,78
373,1,1.0325418858921531,302.8179442496524,303.96573626563645,0,37.0437363,153,14,71,70,100
374,1,1.0245815722086495,294.42817554174553,295.77091436893147,0,36.738591400000004,153,14,70,70,105
375,1,1.0243859998142024,354.63848190284045,352.32638465355393,1,30.098763455,58,109,77,70,85
376,1,1.03525837966971,353.23641429305957,348.5543635223858,1,37.0437363,151,16,76,72,107
377,1,1.055254245961673,292.0564897178327,278.82524589422025,1,36.528845935,152,15,70,70,126
378,1,1.0463426135725535,308.57472608421654,307.4404043602584,1,37.0437363,156,11,72,70,112
379,1,1.0240323253803378,323.7293013287267,323.2895433337014,1,36.09730783,151,16,75,72,103
380,1,1.0285245010457065,288.884591937309,294.6344809904029,0,36.999319045,158,9,70,70,106
381,1,1.0379621970481516,310.469412464186,311.00587595202444,0,36.738591400000004,157,10,73,71,117
382,1,1.0265319715941799,347.05247924893376,346.0908385628502,1,36.09730783,148,19,76,72,103
383,1,1.0275143876895756,305.63635346400685,303.587047873674,1,36.999319045,149,18,70,70,109
384,1,1.0327073021868958,336.7755542142978,333.5598050725046,1,36.116941345,153,14,74,70,110
385,1,1.0229461079457536,311.0920794787043,308.0585162414027,1,36.067052364999995,147,20,77,73,100
386,1,1.0309979413510753,353.5052226426964,351.1833379913379,1,37.0437363,151,16,75,72,106
387,1,1.0185697533721387,316.2269290352018,319.5364321890995,0,30.119388739999998,63,104,75,70,80
388,1,1.0384747962636096,319.021708274302,315.9747358408217,1,36.999319045,151,16,71,70,112
389,1,1.0388755594679244,281.5840292979878,269.82717163968067,1,36.09730783,149,18,72,70,108
390,1,0.9951855867750314,285.64595291969613,294.14204118434566,0,23.661234195,2,165,70,102,70
391,1,1.0208314473079387,353.79073821653566,356.2106831803651,0,31.743230699999998,85,82,71,70,85
392,1,1.0275195718583265,269.12867157074834,273.1064088936149,0,37.074498489999996,161,6,70,70,105
393,1,1.0066354609482833,309.70535613450096,319.41658059474105,0,32.93975158,117,50,70,70,75
394,1,1.0383690497167162,309.2542020207755,311.79487301014933,0,36.09730783,149,18,70,70,100
395,1,1.0412014096605464,310.24809479756806,310.6291932246331,0,36.783008655,154,13,70,70,106
396,1,1.0338916375534852,337.44996196610236,324.9556508531034,1,36.999319045,146,21,77,72,114
397,1,1.040282304024188,287.646427652775,284.1729859212286,1,36.999319045,146,21,71,70,98
398,1,1.027626511383678,314.35933557508497,316.11470950963167,0,36.999319045,147,20,71,70,95
399,1,1.0312796870428929,293.87520416392806,289.5252480623589,1,31.247618505,94,73,73,70,85
400,1,1.022302011737792,336.9503167452011,329.0979985844168,1,36.067052364999995,148,19,77,72,105
