自助序号,有效标志,BMI每增加1单位的时间尺度倍数,一组方案贝叶斯信息准则,两组方案贝叶斯信息准则,贝叶斯信息准则选择两组标志,两组切点,两组低BMI组人数,两组高BMI组人数,一组方案中位达标时间_天,两组低BMI组中位达标时间_天,两组高BMI组中位达标时间_天
62,1,1.0089323660304828,325.63275785296236,332.8622040209698,0,45.92884948,166,1,71,71,175
63,1,1.0337575220998252,313.9296894735545,301.61475575647677,1,36.09730783,139,28,75,70,100
64,1,1.030442562119648,334.5804151067319,337.6141412918172,0,36.09730783,150,17,75,71,99
65,1,1.0287789844399389,302.55663374567706,299.8477324161314,1,36.999319045,148,19,71,70,102
66,1,1.0016448547986239,301.1143836198844,310.50828014871115,0,24.30208847,1,166,70,102,70
67,1,1.0228420572078145,328.7748248225469,328.53372345142077,1,45.92884948,164,3,75,74,175
68,1,1.0207480591971594,308.0082489765671,316.1435905530268,0,31.71929008,99,68,70,70,78
69,1,1.0353152891729276,317.1825101122227,312.93980718987996,1,36.999319045,154,13,70,70,114
70,1,0.979585866851074,316.5675606283203,319.7061068954998,0,28.087017325,7,160,73,108,71
71,1,1.0073003596625985,300.32051575126593,304.8312720218241,0,28.05573339,7,160,75,103,74
72,1,1.0302609472071953,296.1340775825237,295.1397998969334,1,40.14632793,163,4,70,70,167
73,1,1.0321927251786769,278.6887373944411,284.28600283320475,0,36.086685880000005,147,20,70,70,89
74,1,1.0494173351205767,325.8340552584261,313.76735261312876,1,32.93975158,127,40,72,70,103
75,1,1.0156376082395624,327.65835339653444,332.58280797117067,0,36.116941345,151,16,70,70,97
76,1,1.0308364934291652,299.2414132879212,286.9332728068201,1,36.086685880000005,143,24,75,70,99
77,1,1.0287873694907694,348.702334424759,348.99424350681693,0,31.69707255,88,79,76,70,86
78,1,1.0425335228533066,288.6187160429695,293.43620280592,0,32.92347305,118,49,70,70,85
79,1,1.0232176284322492,283.33555732832065,285.79944788243125,0,36.999319045,152,15,70,70,106
80,1,1.0335400817550549,319.8659570198534,315.45557675668806,1,36.8111298,149,18,72,70,111
81,1,1.033190485065688,300.5843821444881,295.91304888965806,1,36.999319045,150,17,71,70,107
82,1,1.02827927516387,283.75620314933144,286.76958628859904,0,36.999319045,151,16,70,70,95
83,1,1.0157674012854436,307.89861705217135,311.8151412374986,0,40.635610400000004,161,6,71,70,114
84,1,1.0392663240729685,350.89547237381186,352.18893528165773,0,36.543007724999995,146,21,72,70,97
85,1,1.047509722204591,330.6807229184046,321.8080998539291,1,36.999319045,145,22,71,70,113
86,1,1.036393288349361,285.70040799880684,279.6313857734224,1,36.999319045,153,14,73,70,111
87,1,1.0449086659939824,321.86621478648857,319.4173994378494,1,40.635610400000004,162,5,70,70,175
88,1,1.0325031128657767,339.6651998627299,341.65767054318735,0,30.119388739999998,64,103,76,70,83
89,1,1.008256228124047,284.4459415644013,291.77523598986835,0,39.23097769500001,163,4,70,70,102
90,1,1.037160347401161,346.04295687694025,346.7570722135765,0,36.09730783,150,17,73,70,101
91,1,1.0375730014801212,320.93827438198497,317.5513349993613,1,36.999319045,152,15,70,70,110
92,1,1.0276283430305413,293.2506570387772,301.67078344099184,0,40.635610400000004,164,3,70,70,110
93,1,1.0011413622201801,286.113842828513,292.59655424870016,0,45.92884948,166,1,70,70,175
94,1,1.0462519818105953,323.24127480763616,323.11237502400905,1,36.999319045,158,9,71,70,120
95,1,1.0230640330098637,344.2578261264424,341.89857525892563,1,36.999319045,146,21,78,75,105
96,1,1.0131310580519208,303.52403696861717,310.65787778162655,0,30.9825528,93,74,70,70,78
97,1,1.0340829247404535,308.86785673571893,303.28237819336164,1,36.09730783,146,21,72,70,102
98,1,1.0290669235509313,274.5953732151661,281.21072963520544,0,36.067052364999995,146,21,70,70,85
99,1,1.0427599070141462,274.5955426790698,281.5703728529976,0,39.23097769500001,161,6,70,70,107
100,1,1.0180337873140264,307.5090717085634,309.17760255973053,0,37.0437363,146,21,73,70,93
101,1,1.0264138526060789,305.7045801804559,310.47053526275397,0,36.855547055,153,14,70,70,93
102,1,1.0141079919691984,275.78855245720945,279.6481960498902,0,37.38597043,152,15,76,74,92
103,1,1.0323692063673122,306.40188162855026,311.94581292314035,0,36.855547055,158,9,70,70,104
104,1,1.0359621481386467,317.4582110351036,303.2120482221218,1,36.09730783,138,29,75,70,105
105,1,1.0222362375468197,325.5832182313897,327.94476432004694,0,45.92884948,164,3,70,70,175
106,1,1.0217206708975894,302.0675059142958,305.27087480641626,0,36.999319045,150,17,70,70,95
107,1,1.0302028893102853,274.35513320255956,275.99954504918895,0,36.067052364999995,149,18,70,70,97
108,1,1.0095533350859875,362.48988964338866,366.4339683430125,0,29.716817785,54,113,76,70,82
109,1,1.0394781032509661,305.42350822613287,305.4580788026192,0,36.8111298,150,17,71,70,99
110,1,1.0253509471688704,356.1466972161968,356.4310662999815,0,36.067052364999995,149,18,76,72,103
111,1,1.0210842284129917,268.59302375783676,270.1288286587525,0,36.999319045,155,12,70,70,96
112,1,1.0202786073230052,346.15260726066674,344.97579427093876,1,37.074498489999996,155,12,79,76,111
113,1,1.043466349044215,289.8572136073882,291.3064770822845,0,36.09730783,149,18,70,70,98
114,1,1.0431053551726002,321.6471058117018,324.96149855793357,0,36.09730783,155,12,70,70,101
115,1,1.0342620060823557,278.86935380676505,286.00799372710856,0,43.009181285,166,1,70,70,175
116,1,1.013911167722571,312.12098587545836,317.506940738852,0,31.939963215,109,58,73,70,82
117,1,1.0274619694270302,282.2452235615802,288.9492440121669,0,40.14632793,164,3,70,70,125
118,1,1.0321764960969753,297.6503993710912,300.6888099637219,0,43.506704150000004,164,3,70,70,175
119,1,1.0459418651702326,276.9080105752913,277.7979584697043,0,45.92884948,164,3,70,70,175
120,1,1.0314913191335404,391.67761179019453,388.3088713357529,1,31.41103571,92,75,78,70,94
121,1,1.0272359330255971,293.81709285000414,296.191693585386,0,36.8111298,151,16,70,70,98
122,1,1.0137214843043745,306.2111682289918,308.61251222247165,0,43.088556015,165,2,77,76,175
123,1,1.0225079651343776,334.48835221016867,338.2494347083946,0,31.996085665000003,108,59,72,70,84
124,1,1.0587434110383918,277.8421189786226,276.44921831371886,1,36.09730783,150,17,70,70,102
125,1,1.0344522474326385,298.7239504883941,297.3509102136337,1,36.999319045,151,16,71,70,104
126,1,1.035761439087632,299.71481142438375,294.08234194551017,1,36.999319045,151,16,70,70,105
127,1,1.0431370583604402,339.6725717387563,335.4639254425619,1,36.999319045,147,20,72,70,110
128,1,1.0406617149366915,308.73006984283484,305.37302766753584,1,36.855547055,159,8,70,70,135
129,1,1.0311707303328461,355.0070739672254,354.0435827398012,1,30.9825528,78,89,77,70,86
130,1,1.0573277791683964,313.34180816309123,311.20857592790577,1,43.088556015,163,4,70,70,175
131,1,1.0393423939325743,331.0236485002096,326.65938091402177,1,36.09730783,149,18,70,70,109
132,1,1.0258504480257895,335.1324635322055,340.80389679379823,0,31.430195355000002,92,75,70,70,82
133,1,1.0160473293259338,311.7119998384459,313.09966973103724,0,30.98707349,86,81,73,70,83
134,1,1.0117947722208467,349.5405553991622,349.30932649572543,1,28.129328255,8,159,76,117,73
135,1,1.0500459881661044,282.75030571259896,286.8136744531318,0,34.721552450000004,136,31,70,70,88
136,1,1.008480382258148,287.04461635891704,293.29426282652025,0,28.129328255,5,162,70,107,70
137,1,1.029265888827773,323.4899406488215,320.3092672946748,1,32.93975158,113,54,75,70,91
138,1,0.9974104090050832,324.39746735104137,331.0820649708276,0,23.661234195,4,163,78,102,77
139,1,1.0070831531330195,313.17327743031024,321.6065963939614,0,36.067052364999995,148,19,71,70,83
140,1,1.0378215231409706,290.3997964379471,286.4126926262593,1,36.09730783,147,20,72,70,101
141,1,1.0128561179831628,306.24917278665896,313.45450830316474,0,36.999319045,148,19,70,70,89
142,1,1.0358210155421397,283.8534201064839,287.0288823751282,0,37.0437363,155,12,70,70,98
143,1,1.0279234184921338,280.2106391053429,283.4230367586804,0,36.09730783,140,27,70,70,89
144,1,1.054536588893141,294.31202274261744,301.7077142771751,0,43.01742168,166,1,70,70,175
145,1,1.0583383982916477,270.23531030635957,268.3498220596175,1,36.999319045,154,13,70,70,115
146,1,1.027600417176466,316.61418586328006,317.5335497083962,0,36.999319045,154,13,75,73,104
147,1,1.0120126181698053,291.55057335890007,300.1938012948906,0,36.09730783,151,16,70,70,84
148,1,1.0335163159445613,326.502650947648,324.61576359235363,1,31.247618505,94,73,74,70,86
149,1,1.0457676046115059,297.8493040991384,294.12961840056283,1,36.8111298,156,11,70,70,116
150,1,1.0346191617568727,303.2376147229509,300.8825080349706,1,32.92347305,105,62,71,70,88
151,1,1.039119498806427,296.9894590119315,299.68284866701964,0,36.855547055,153,14,70,70,98
152,1,1.019555658358838,308.841128768307,315.1570112478995,0,28.136300130000002,6,161,70,104,70
153,1,1.01163180505848,329.44658789118273,334.31785851138665,0,36.09730783,142,25,73,70,90
154,1,1.034629788829772,311.4957428000748,311.4629653336427,1,36.999319045,148,19,70,70,110
155,1,1.017501648169471,324.4308899257285,329.4447020965382,0,36.8111298,155,12,73,71,98
156,1,1.01051427211535,330.48925872181405,336.39964425555456,0,28.195512155,8,159,70,103,70
157,1,1.0231985142442492,331.02309413968646,337.3180718879424,0,36.067052364999995,154,13,70,70,95
158,1,1.0179242863170768,318.61953876211965,322.7689606636796,0,45.92884948,165,2,70,70,175
159,1,1.0504847666033,313.69853768767,310.52666714199876,1,36.999319045,153,14,70,70,121
160,1,1.0222905664613935,312.9999451037596,317.4684697125232,0,35.971755044999995,149,18,75,73,92
161,1,1.0155080464482387,302.4545876124125,307.0455168535064,0,36.999319045,153,14,71,70,96
162,1,1.0087688452764043,285.26873600257596,292.66204858310687,0,28.195512155,8,159,70,94,70
163,1,1.0032603327444471,300.6909974797378,303.0896074546807,0,28.136300130000002,8,159,70,108,70
164,1,1.0503500467594498,295.37307901868235,297.6481839245962,0,36.999319045,151,16,70,70,102
165,1,1.013734702660925,311.57855696764534,319.2976707037427,0,45.92884948,166,1,70,70,175
166,1,1.0409790786368025,314.98882597213003,313.9873095815696,1,36.09730783,146,21,70,70,99
167,1,1.0284123518780066,330.5861632278805,324.8256232513695,1,30.119388739999998,65,102,77,70,86
168,1,1.0339551776291744,300.7880074972784,293.12795078743125,1,36.09730783,146,21,71,70,103
169,1,1.0383736175860894,335.81999108198204,338.4267243513518,0,37.0437363,154,13,70,70,107
170,1,1.0274967709073668,351.4694441150539,348.99753668312087,1,37.0437363,151,16,80,77,108
171,1,1.0350107958128314,331.0038269128086,321.4712904893641,1,36.999319045,154,13,76,72,127
172,1,1.0436054169673181,298.86533800648857,306.5914107079824,0,36.999319045,151,16,70,70,89
173,1,1.0136211485454674,327.7040297839851,330.5691849100304,0,36.09730783,153,14,76,74,101
174,1,1.022216083199253,275.59064899393564,279.3712790573166,0,36.999319045,155,12,70,70,97
175,1,1.0161754953706545,329.88388956607866,334.8948899748308,0,36.09730783,145,22,73,70,90
176,1,1.0318408480248449,372.6515988627539,372.7142212098312,0,36.999319045,150,17,76,72,112
177,1,1.0163415074986204,331.1584670688918,333.40840190708985,0,36.738591400000004,147,20,74,71,96
178,1,1.039594378435869,294.3528826240911,300.0593421459526,0,40.635610400000004,162,5,70,70,117
179,1,1.0187812533338236,308.89889365483185,313.90350048749815,0,36.09730783,151,16,70,70,94
180,1,1.0522092708092965,327.272956897058,331.18611585177644,0,32.93975158,107,60,70,70,85
181,1,1.0252298865173601,328.36859899941976,329.0445475904703,0,29.760862715000002,47,120,77,70,83
182,1,1.0394850594776186,305.54121088012636,302.40908052841417,1,36.09730783,145,22,71,70,97
183,1,1.0208586006238662,338.4539531443193,337.89605344914713,1,28.129328255,7,160,74,120,71
184,1,1.0319538091503477,300.3444436590848,305.6233585459791,0,37.0437363,159,8,70,70,105
185,1,1.040667502382868,295.31767833587435,293.09202031786737,1,37.0437363,151,16,72,70,106
186,1,1.0266786505926313,292.210438207708,288.6195601107099,1,36.8111298,154,13,70,70,126
187,1,1.0181651373723566,362.9264075187363,365.1739882285341,0,36.738591400000004,153,14,77,74,112
188,1,1.0179464900921935,334.0922352285254,336.9621318445406,0,28.136300130000002,7,160,72,110,70
189,1,1.0269418809426951,312.1806063099421,316.38937086928445,0,34.056319955,129,38,71,70,86
190,1,1.0115865503700787,319.8496718939289,329.1628321774634,0,28.129328255,5,162,70,90,70
191,1,1.0139040344559576,288.8349481471834,296.07556352975365,0,43.506704150000004,166,1,70,70,175
192,1,1.0424277615830853,324.5977225839106,325.87751553027294,0,36.086685880000005,145,22,70,70,96
193,1,1.004645982079223,315.50536577396815,324.2633658384844,0,36.999319045,154,13,70,70,86
194,1,1.019028923339637,316.0030098763074,321.60401507893704,0,36.067052364999995,140,27,70,70,87
195,1,1.0383114133728084,328.0734597358215,323.3958592640524,1,37.0437363,151,16,75,71,106
196,1,1.0172393589976048,306.975887384341,308.10843280898035,0,36.067052364999995,150,17,70,70,108
197,1,1.0112230367007684,308.0158476776295,313.1888437509813,0,32.92347305,114,53,70,70,82
198,1,1.005496071572514,296.4945876255948,302.3930678417305,0,28.129328255,4,163,70,111,70
199,1,1.0462403225356582,264.7585775587458,256.716612895095,1,36.999319045,151,16,70,70,113
200,1,1.0313116588615356,284.6022838015419,290.61227665421995,0,36.067052364999995,151,16,70,70,91
201,1,1.061591578707988,332.1609232187007,333.28521095893535,0,32.97528242,104,63,70,70,88
202,1,1.016731306549686,322.89377409725887,320.97004026559426,1,35.971755044999995,153,14,76,72,105
203,1,1.0063618377945416,329.5506723420358,332.7858086727737,0,37.0437363,154,13,71,70,102
204,1,1.0344459140667255,277.6289492107016,272.4046565051775,1,36.999319045,154,13,75,72,107
205,1,1.0287070681011803,325.9222332718307,328.3772797251004,0,40.635610400000004,164,3,74,72,153
206,1,1.0755198810620286,314.8462752772079,316.3735975304613,0,36.999319045,157,10,70,70,126
