复核类型,请求前缀次数,有效次数,统计量,中位数,2.5%分位,97.5%分位
孕妇整簇自助,200,200,两组第1组_25周0天已达标比例,0.9473237684189662,0.9074410751905222,0.9754745372553176
孕妇整簇自助,200,200,两组第2组_12周0天已达标比例,0.43058945854428965,0.2318446292060726,0.6264209753021749
孕妇整簇自助,200,200,两组第2组_13周0天已达标比例,0.46731156579721644,0.2605667850153271,0.6605143702277109
孕妇整簇自助,200,200,两组第2组_25周0天已达标比例,0.8393565713136799,0.6471385048789756,0.9249041327091145
孕妇整簇自助,400,400,一组方案BIC,202.47022622602276,185.8126330732724,221.73019241041234
孕妇整簇自助,400,400,两组方案BIC,206.31794998528295,189.36033301603192,224.82848964214904
孕妇整簇自助,400,400,BIC两组挑战胜出标志,0.0,0.0,1.0
孕妇整簇自助,400,400,两组切点,35.64644873,29.05951596,37.0437363
孕妇整簇自助,400,400,两组低BMI组人数,142.5,30.950000000000003,156.04999999999995
孕妇整簇自助,400,400,两组高BMI组人数,24.5,10.950000000000003,136.04999999999995
孕妇整簇自助,400,400,固定效应_孕周标准化,0.3476979489001816,0.2760318161446889,0.4103377887821067
孕妇整簇自助,400,400,固定效应_首次BMI标准化,-0.12676345437182265,-0.2225221427463613,-0.05116140153872482
孕妇整簇自助,400,400,固定效应_首次年龄标准化,-0.08609209177830832,-0.17006824692197375,-0.004836796341215486
孕妇整簇自助,400,400,固定效应_首次身高标准化,-0.04877881877986413,-0.128418934288695,0.04539420488236058
孕妇整簇自助,400,400,固定效应_首次生产次数,0.18565648512480365,0.08798941834757563,0.2782726124310535
孕妇整簇自助,400,400,一组第1组_12周0天已达标比例,0.6306640081686239,0.5644089083346233,0.6951671974130417
孕妇整簇自助,400,400,一组第1组_13周0天已达标比例,0.6683094218136665,0.6052488250164245,0.7287214748355197
孕妇整簇自助,400,400,一组第1组_25周0天已达标比例,0.9253525144931234,0.8868849538243686,0.9562845356800704
孕妇整簇自助,400,400,两组第1组_12周0天已达标比例,0.6951730810163435,0.6116075381213978,0.8444834475075803
孕妇整簇自助,400,400,两组第1组_13周0天已达标比例,0.7306763724974357,0.6501215217692271,0.8692374411135548
孕妇整簇自助,400,400,两组第1组_25周0天已达标比例,0.9479941497927807,0.911841207807469,0.9779583718128821
孕妇整簇自助,400,400,两组第2组_12周0天已达标比例,0.45520759663238636,0.19996314630452267,0.6237228377803309
孕妇整簇自助,400,400,两组第2组_13周0天已达标比例,0.4899675539302699,0.22926026747187347,0.6582869954267858
孕妇整簇自助,400,400,两组第2组_25周0天已达标比例,0.8478075228524599,0.6356708640101885,0.9311800404002785
