重复序号,有效标志,抽样技术误差标准差,达标事件数,一组方案贝叶斯信息准则,两组方案贝叶斯信息准则,贝叶斯信息准则两组挑战胜出标志,两组切点,两组低BMI组人数,两组高BMI组人数,固定效应_孕周标准化,固定效应_首次BMI标准化,固定效应_首次年龄标准化,固定效应_首次身高标准化,固定效应_首次生产次数,一组第1组_12周0天已达标比例,一组第1组_13周0天已达标比例,一组第1组_25周0天已达标比例,两组第1组_12周0天已达标比例,两组第1组_13周0天已达标比例,两组第1组_25周0天已达标比例,两组第2组_12周0天已达标比例,两组第2组_13周0天已达标比例,两组第2组_25周0天已达标比例,失败信息
26,1,0.005381917340295744,482,210.6952392095041,215.24717448646322,0,36.696902405,152,15,0.33945746475361765,-0.13544837646334798,-0.07655207550777932,-0.04663514673719436,0.18269869666074187,0.6301820061843394,0.664265296991639,0.913995206574779,0.662060261692423,0.6953001278091373,0.9259301435919562,0.32105389568606424,0.3511025135174549,0.7325949883097085,
27,1,0.004058884601613563,480,214.2854957908348,220.1298522107067,0,36.43617476,151,16,0.3586100079524403,-0.14355478681321787,-0.08500534083257481,-0.035318599933679896,0.18627347335082856,0.604736240637182,0.6412991307116719,0.9186296192102221,0.63671541573636,0.6728920037809636,0.9304458153357402,0.3966864159146507,0.42962754400571235,0.8095549435722939,
28,1,0.004364283149754443,491,205.25625132854515,210.78589668991015,0,36.43617476,151,16,0.3494752561340562,-0.13503754784565536,-0.07656910120179636,-0.04783161201881524,0.19000927381272378,0.6451670748856433,0.6804923435638703,0.9228282965327728,0.6752148133628753,0.7098575631860002,0.9335197851603875,0.413263226863415,0.4461755240282346,0.8059367853143207,
29,1,0.005327995519100067,486,211.270063767386,216.46637906881642,0,36.43617476,151,16,0.3467897795477589,-0.13636244368517358,-0.08454941350736929,-0.04691725228048461,0.18632265509300475,0.6233733606875267,0.6592613612433327,0.9089618625019302,0.6553397835853931,0.6905503038090391,0.9210283859716994,0.4064243873243787,0.4402766009772634,0.7982873735452842,
30,1,0.007173984522098655,495,202.9503945475234,207.7973168292528,0,36.43617476,151,16,0.35801557189182287,-0.12147404792344449,-0.0876767710207905,-0.0617440489462917,0.17672752171604297,0.64377871218481,0.6791853055786221,0.9342330346295964,0.6763953989990685,0.711006275407148,0.9449014474200258,0.3468938810474556,0.3773444105906576,0.7724119434856074,
31,1,0.003960160600127079,489,206.96666312182873,211.40919036875073,0,36.43617476,151,16,0.34479149790808195,-0.12674650744165866,-0.08695329763849978,-0.052142110107160404,0.1857000288383864,0.6402018357773566,0.6747292704868101,0.9250079865171033,0.6739170611428549,0.7076551547065265,0.936938135585902,0.3434298106180105,0.37311185104943745,0.756481875815145,
32,1,0.004213330483053419,481,207.58553556339905,212.62644486456355,0,36.43617476,151,16,0.35827419345213507,-0.12586641496036166,-0.07688546782960706,-0.038930104412486156,0.1894226454203275,0.6161832049648682,0.6533281395700177,0.9170421210644217,0.6490108848005152,0.6854809177143847,0.9287686539617818,0.3361658473779864,0.3681664281380443,0.7638832050524421,
33,1,0.004241657697692107,486,210.19721702111033,215.78241965601057,0,29.716817785,44,123,0.3474824056595817,-0.13233671577673833,-0.08577763405709153,-0.036417272854050296,0.18785403373470858,0.6251848463250776,0.6609298835616196,0.9220159049494074,0.7303152432974547,0.7629036310207368,0.9562504662719483,0.5783581517796184,0.6145439378523536,0.9031322736636649,
34,1,0.005909189985181446,483,208.08414927144992,212.0199167099383,0,35.689195755,145,22,0.3637884020646987,-0.13244277918733352,-0.08514308890528363,-0.05601790821910907,0.18359664976405946,0.6162409932302173,0.6542234490107027,0.9273479731799734,0.6590286566024709,0.6961771172408182,0.9414772110783565,0.3905701177053965,0.4250215143613733,0.8159472008143355,
35,1,0.004011582128966437,483,208.62457587070827,214.72595356928832,0,36.43617476,151,16,0.35300120420528036,-0.11272179215935617,-0.0871173777340971,-0.03697812126780512,0.19017868731186857,0.617301512985353,0.6536974179019137,0.9225647324835501,0.6448692861618532,0.6807652880988687,0.9323978019530466,0.37510766874520257,0.40787804952181117,0.794941834095803,
