自助序号,有效标志,一组方案贝叶斯信息准则,两组方案贝叶斯信息准则,贝叶斯信息准则两组挑战胜出标志,两组切点,两组低BMI组人数,两组高BMI组人数,固定效应_孕周标准化,固定效应_首次BMI标准化,固定效应_首次年龄标准化,固定效应_首次身高标准化,固定效应_首次生产次数,一组第1组_12周0天已达标比例,一组第1组_13周0天已达标比例,一组第1组_25周0天已达标比例,两组第1组_12周0天已达标比例,两组第1组_13周0天已达标比例,两组第1组_25周0天已达标比例,两组第2组_12周0天已达标比例,两组第2组_13周0天已达标比例,两组第2组_25周0天已达标比例,失败信息
135,1,206.9082038235245,205.07890219688062,1,35.689195755,141,26,0.330897625182884,-0.23238737268822648,-0.04140475458094323,0.014639282978804534,0.1825622425378715,0.6313000118660091,0.6703595254150083,0.9232246201342743,0.7002798732359536,0.7380093489182263,0.9457873796577692,0.36239774676256686,0.39382989816665126,0.7834677367264077,
136,1,202.4480169353581,201.89940702140217,1,29.75646442,52,115,0.3946880792804854,-0.14523624924599646,-0.011128206207398423,-0.10089730995748078,0.18006537710015852,0.6082202988345884,0.6491019352444286,0.9434429725426288,0.7372139574611286,0.7737770467732675,0.9744921380906406,0.5278928590559953,0.5688998883687746,0.9157300106326828,
137,1,201.0527806120105,204.5131395343838,0,29.006466625,29,138,0.2954696867237281,-0.09523778328627126,-0.13587462494205335,-0.05961922947064067,0.2280653060332305,0.6570050582740936,0.6878298996748693,0.9271011643946664,0.801813987664951,0.8270862961738222,0.9726646250656434,0.6127556202470859,0.6441365751735981,0.9084584217940452,
138,1,201.5538904850449,206.27356615439356,0,33.794472045,124,43,0.3576143076162718,-0.1122270352193968,-0.06505543180985429,-0.04992876138651547,0.20166310241308338,0.6247217641817489,0.6619701773698115,0.9404034441330102,0.6893555621784131,0.7247855935420343,0.9589840112106987,0.46175711459716395,0.4986704099558106,0.8716832448930995,
139,1,197.8380136887816,203.5862610531707,0,35.50713861,148,19,0.2807712751516419,-0.08800725944129278,-0.01842855474383583,0.010416501115841548,0.20990837982834049,0.6689246784485486,0.7012002804960193,0.9065843666244723,0.6937986888599141,0.725326579804209,0.9164081975001958,0.478750708254513,0.5120729177818697,0.8140483459427327,
140,1,197.57424100962203,203.19072684512452,0,29.756464415,49,118,0.3759098143831196,-0.06529301809560592,-0.06742349285774846,-0.00529624375908985,0.18622602637792599,0.6227962612164571,0.6627761173928658,0.9386878916043041,0.6862166433251086,0.7242558464446394,0.9563587886185232,0.5575418367807763,0.5982779067149903,0.9165614526572983,
141,1,208.156644921471,208.3373872237471,0,35.689195755,138,29,0.3309271881766792,-0.19442189165654974,-0.1142578310582627,-0.01609385999704054,0.16240654808860078,0.6319045894506498,0.6687871927909461,0.9057659103252561,0.6936313009068551,0.7288822547768282,0.9281260178079722,0.40083727815051956,0.43496326700697674,0.790715506553861,
142,1,216.03517639751666,223.58543495939495,0,29.09480216,17,150,0.340855029625699,-0.08186008562034125,-0.10634762487886171,-0.08156622168945243,0.16517421859726641,0.6001481451242284,0.6356784542771713,0.9047388265506398,0.7485040367389285,0.7786643416461225,0.9557330036459727,0.5790716225617638,0.6149224093435806,0.8957683804569774,
143,1,211.5054792807438,216.94606640606878,0,29.09480216,35,132,0.3659952404800517,-0.09219225126341608,-0.05965453072047657,-0.09821245551124753,0.11528930140627162,0.5931270315810684,0.6317688213841389,0.9346872967769368,0.7521072737292235,0.7866850088864319,0.9765710276778938,0.5526453450120766,0.5910800000759501,0.9194460203141991,
144,1,216.9767388220638,218.69455242121143,0,36.999319045,160,7,0.3672971889924663,-0.10602626255976938,-0.13401573807330108,-0.03445434093026233,0.1857196019432729,0.6136570583976065,0.6493162225947949,0.9109299837044834,0.6422421308839417,0.6773093370515916,0.9217509903226133,0.31582950658838577,0.34631284835170156,0.7382155877038661,
145,1,204.16923155782163,207.46803106759455,0,31.862556315,108,59,0.301299575612484,-0.16515730454149993,-0.038337628860749894,0.006638274448600767,0.22930145113523961,0.665688207188442,0.6977808127917519,0.9084837907192013,0.7567498598278681,0.7864020891808855,0.9435467619224474,0.5262714559706215,0.5576039964147379,0.8383578104306578,
146,1,192.43141148167652,195.0502794874185,0,36.43617476,150,17,0.3932484382479649,-0.11936242688271594,-0.01634699030497113,-0.057639860929051476,0.129046160692498,0.6471556645945984,0.6872328631876347,0.9569980343050142,0.6884986606547895,0.7271908446821539,0.9666042792068889,0.33232804062025023,0.36697225867355165,0.8135630509658227,
147,1,211.402069585825,212.45573854589912,0,35.64644873,143,24,0.3558581878227182,-0.12433376190554739,-0.09988956817784671,-0.0348360605882732,0.10443488879588891,0.5948400996679012,0.6366397342982627,0.9290587732422243,0.6567867291831969,0.6978731134959995,0.9479647858284518,0.35762599457100835,0.39197532908925387,0.8142833607858929,
148,1,210.3609243298638,216.29182941513812,0,29.756464415,48,119,0.3783409633576464,-0.08580952573314508,0.02238996716077085,-0.07139536795415104,0.19408881651272514,0.6108204170508065,0.651021074932403,0.9057011668575401,0.6838617239549766,0.7210760692686723,0.9296748360652316,0.5528732942775624,0.5944978596092638,0.8841001240489385,
149,1,199.2257877591245,199.06407867549854,1,36.43617476,152,15,0.34775232347110624,-0.12396148418772028,-0.09972975634953174,-0.055931074583149866,0.17038504829647125,0.638380994355727,0.6772601716345166,0.9405147777715401,0.6846881844546603,0.7227052855172268,0.9541979583612841,0.3104463241374193,0.33861959233121064,0.7591777850644064,
150,1,199.4323848798804,207.6433370682979,0,35.392633724999996,151,16,0.3407755429848595,-0.04366755529658788,-0.059844460905676466,0.018310744378156624,0.11220795464080892,0.6504971077046485,0.688158951669842,0.9284956649361732,0.6685229854036933,0.7056758717063072,0.9344079920997147,0.5204975497971229,0.559210660690588,0.8772514508775452,
151,1,192.20477265503132,197.40747844252797,0,36.43617476,153,14,0.3007129227572681,-0.12734781055914446,-0.04717458691215112,-0.05574177486089627,0.1801517548027625,0.6763134298074233,0.7096999072970697,0.9314304505936862,0.7100801185052463,0.7420720037090109,0.942355671438813,0.376097800395229,0.40979204109702366,0.7841504932842359,
152,1,199.2537201069954,203.53182102523118,0,36.43617476,154,13,0.3565683997638217,-0.13323394591126847,-0.025136746065718567,-0.024151206092600224,0.15648101953927224,0.6309091845855392,0.6701733062830618,0.9383575804734177,0.6584314269266207,0.6971268971800585,0.9467322938703543,0.3537825491594955,0.3874910141336286,0.8016716957541647,
153,1,197.97261288409285,202.85290448387434,0,36.43617476,147,20,0.383545816105525,-0.11668995623298846,-0.013409787466790312,0.011378707463578129,0.19201344615402777,0.6380237129336216,0.6809135890582028,0.9258363589711048,0.6688626292019593,0.7107196608536799,0.935060022427102,0.41680081946800385,0.45927443448428146,0.8385073441665579,
154,1,200.13529855932708,206.36233381617234,0,36.09730783,148,19,0.3338003222569094,-0.09825619460471136,-0.029167049488916855,-0.043913074440554624,0.2090679296317385,0.6609147818561458,0.6939844478170876,0.9253102458388662,0.6939739543436769,0.7258995668082723,0.9367792604152448,0.3970445716804472,0.4299546091355353,0.7908048426864877,
155,1,197.86292864452764,206.66092629427828,0,35.614437525,146,21,0.2970418996649069,-0.07957333805256321,-0.16960913515176815,-0.07252070675135511,0.067686637784685,0.6480060848481639,0.6840996210348917,0.9211217385475078,0.6735778169477737,0.7090236839939773,0.9299530658319999,0.4749110265930483,0.5108366595340305,0.8454261791527264,
156,1,210.08819352051881,205.82111824114122,1,35.42464493,145,22,0.3710167188524152,-0.16070583476293868,-0.14740716435519408,0.03117387626021034,0.1286539507670421,0.6463290709168678,0.6838097563649419,0.9099155237722008,0.7207366949315097,0.7549901849860671,0.9345524132360394,0.3079084035030793,0.3413966035255067,0.7350724061756818,
157,1,213.60353500520438,216.99683851074792,0,37.0437363,153,14,0.35755458244782046,-0.12045135827858625,-0.004855642158399689,-0.07229920587364891,0.1403648824274243,0.5904869259823521,0.631453152971836,0.913779816457753,0.6271620665281354,0.667429745599774,0.9262408659617228,0.23197541559187693,0.26070458781679023,0.6995184499428111,
158,1,198.2676053005541,206.21392304268113,0,31.69707255,94,73,0.38887037147246606,-0.10074351998606866,0.045317629352420834,-0.11510594727454482,0.18829909215008928,0.6224055885291276,0.6624138642272306,0.9246102110534834,0.6877088168186978,0.7262098398002751,0.94516098975674,0.548943413407483,0.5889632701071499,0.8964730704043344,
159,1,207.3947915103542,210.9925811966142,0,29.756464415,49,118,0.388186790302304,-0.14128633111777905,-0.029451867149850496,-0.11987197041990515,0.0961531417746895,0.5772664153489442,0.6190413759216268,0.9186298654519012,0.7454900177781719,0.7818597723568765,0.9663139975308898,0.5105048032651821,0.5520348568210437,0.8922628520752237,
160,1,205.13613699792742,208.69220556434732,0,35.689195755,149,18,0.33234473091648675,-0.13670087217003352,-0.04616114582833159,-0.047615987020973756,0.142040057507264,0.6286693315169435,0.6669692763353371,0.9398199759358891,0.6593376721510961,0.697143689029438,0.9492736467226921,0.3737982243194804,0.40648229871673736,0.8126477384208353,
161,1,195.7733043611533,198.3010492631097,0,35.475127404999995,148,19,0.4124767863405996,-0.14042707044793437,-0.11438381171389855,-0.08378371823194787,0.1575762372456964,0.6245884028930548,0.6674520254146561,0.9364325719535161,0.669345931797141,0.7105108165819592,0.9484160308473222,0.35442962314884524,0.3951409208495183,0.8253913462066792,
162,1,205.5400338912082,211.5504462806325,0,36.067052364999995,142,25,0.35326723919047875,-0.13826959250661408,-0.00787870145222289,-0.04094867216609471,0.2056713434537475,0.6247774677356676,0.6618935338731009,0.9314548007248901,0.6563213854255529,0.6926200470263858,0.941836283325176,0.471218353361486,0.5090163032886071,0.8657023684867164,
163,1,180.28757510959977,185.83192248502894,0,36.43617476,153,14,0.3344404119732962,-0.08764186176604748,-0.12598972952751142,0.008980108725768465,0.1639558536666945,0.6794831643421682,0.7192181963583675,0.9347029026516834,0.7087052736076125,0.7475296397097623,0.9435983338699018,0.43961316991564464,0.4765825267741408,0.8336828412746148,
164,1,217.9983275268633,219.95354622081675,0,31.247618505,83,84,0.34219639231923793,-0.14587223060663512,-0.019220292696073043,-0.03461541253757201,0.18115130457041137,0.5714954071829337,0.6118869730575909,0.9115859034419639,0.7101289955251201,0.7480873045915926,0.9557392266231856,0.463570203961626,0.5019504195315994,0.8630428453081154,
165,1,203.24302169092232,210.1785089904643,0,40.635610400000004,162,5,0.32357254469536534,-0.05835323356122366,-0.08828718182637997,-0.12686271729729873,0.1824326512639153,0.6297828832001261,0.6652816479403477,0.9202945656340662,0.6469282047771336,0.6822457213876914,0.9267282354635423,0.41915725629689504,0.45118475323374074,0.8160515515374478,
166,1,206.12768654261893,206.65952407116396,0,36.09730783,142,25,0.37725696946877935,-0.1889032021260522,-0.09230752138675767,-0.011581889499893696,0.1882684533290463,0.6096747773053144,0.6489341238360032,0.9350308753356459,0.6721247859028181,0.7096543339295265,0.9532129706232495,0.35164010935453155,0.3871025523782595,0.8099991961505091,
167,1,204.08282886328982,207.86459477646207,0,29.756464415,44,123,0.3834253983763014,-0.1388062225866352,0.0027924492581659953,-0.06772346540350245,0.11299261569416401,0.6182855805508594,0.6598366189267082,0.9331178711960652,0.7669125837061656,0.8014057127866764,0.9703801350132312,0.5510983742673854,0.5935581903485242,0.9104136067651554,
168,1,202.1699759504247,203.8920233114065,0,31.41103571,97,70,0.3755163420684934,-0.11923106625942595,-0.10540508135015372,-0.09366835869002556,0.2083625004392424,0.6322745401826467,0.6696245404503819,0.9243963572073067,0.7271652671685095,0.7611315717827994,0.954018883860681,0.5088961194724354,0.5469884481401804,0.8727832293024838,
169,1,190.07584819846667,194.8853333182447,0,32.855693790000004,115,52,0.35422088350340375,-0.10909296582206182,-0.09306411357421164,-0.017479949200618936,0.13460200194719005,0.6453558582579074,0.6827696852882104,0.9589688404728538,0.7044949487489888,0.7406316433179406,0.9732788468970369,0.5364975924580707,0.5735147558693094,0.9205100349903359,
170,1,202.38567569177627,210.54436557204775,0,36.43617476,154,13,0.38866487059710725,-0.054770172368379125,-0.09882262731702514,-0.07242727120438673,0.2016085001669634,0.5849372483385157,0.625625646145797,0.9302419877701735,0.6050833321900623,0.645597005505742,0.936913326620911,0.517540209329719,0.5581713914329195,0.9046906077025979,
171,1,194.15403080968213,198.5184133246246,0,29.693442675,50,117,0.3167888839277639,-0.1219172649012595,-0.19555992805910966,-0.03707926730331394,0.24398451781552033,0.6404875475880581,0.673267267344007,0.9049740414250601,0.7110503858460463,0.7439536654740685,0.9372278733880799,0.5955299687332377,0.628056263160613,0.8816598509402487,
172,1,200.7586472500608,207.45839389315842,0,30.119388739999998,61,106,0.3463293464453281,-0.05466919395352619,-0.05854903744862504,-0.08520324174548197,0.19695255801984055,0.6260685717540172,0.6619257593316935,0.9256853968367664,0.7148426926804314,0.7478005079350705,0.9545189945961099,0.5681647002519832,0.6048345486192697,0.9023606228260267,
173,1,214.741969997648,219.18171745701915,0,29.09480216,38,129,0.39432248451833946,-0.11544744700660525,-0.12856807372099147,0.04350279433469425,0.19778543451587266,0.605626385882899,0.6482018772641622,0.9279739298677883,0.7786655521315693,0.8117058612730319,0.9707298601742924,0.5569824879311613,0.6006082767323794,0.9121282404027021,
174,1,214.40546591484923,207.2735345383988,1,36.09730783,146,21,0.2864906002399354,-0.22251729610863555,-0.07502246664082685,-0.008529784026005785,0.15590578653014645,0.613860754243865,0.6500332538790319,0.8980875459254599,0.6885332773675846,0.7228149810192355,0.9261440109741872,0.266274905349723,0.29329801467259614,0.6817552473947208,
175,1,218.0860666896464,219.37401840698675,0,35.689195755,142,25,0.26838864564405684,-0.15537565196231845,-0.06967934431729979,-0.09791161741238895,0.1759333841135631,0.6200169870573031,0.6509897510405227,0.8868917899158134,0.6857909856407108,0.7158830032952014,0.9163815187074471,0.3389546052807011,0.3635242318696959,0.7016751195704528,
176,1,218.01451170515898,213.90255891579523,1,31.41103571,83,84,0.3458896596346841,-0.24453065140026076,-0.04380776039301604,-0.10197231879403146,0.17551680197587322,0.5929102940260202,0.6284908854896079,0.9102157045471996,0.7567985198826372,0.7888990650959224,0.965360516489248,0.45047138568034634,0.4831721343863598,0.8341380493117123,
177,1,197.9028675284305,201.79891695591147,0,33.794472045,126,41,0.39295090915671926,-0.1405158791964003,-0.26284901864832505,-0.10534146793899148,0.21428483359607128,0.5936559960487495,0.6325282484832508,0.9472431462620674,0.6632676158308154,0.701499076934159,0.96732867035915,0.41136868000168525,0.44566583091743345,0.8550159110292378,
178,1,199.2418463281081,204.82959808856089,0,31.269159645000002,90,77,0.33288008158745885,-0.10196796911919177,-0.11820748457521041,-0.114209395358455,0.23815171891479853,0.6259730788060104,0.6597344802708368,0.9190593706900492,0.6953409139755019,0.7277750328904634,0.9449540826899891,0.5175193900778443,0.5511087422555623,0.8673493092593447,
179,1,198.47660976584993,206.7780531608483,0,29.756464415,38,129,0.3385832170010532,-0.04471146535332944,-0.0730897286635873,-0.05075563889985291,0.24725243947441936,0.6274245546918434,0.664121138469957,0.9115225241752283,0.7415253661105544,0.7744604881417656,0.9496801158232892,0.5984332592253255,0.6354877519072832,0.900081822193886,
180,1,201.50249879876023,209.52866463712047,0,36.624364005000004,153,14,0.3674959211391196,-0.06161420411193285,-0.07820319160817635,-0.0784747589860986,0.16202078873552683,0.6247092203580398,0.6611977853246034,0.9467272453898253,0.643390056575738,0.6795227712781703,0.9522138426451019,0.4576893530797597,0.49342717685886034,0.8788130979684377,
181,1,196.68654658081115,197.2227686516352,0,29.756464415,50,117,0.3657455019728886,-0.13773760721307451,-0.12724573998019229,0.02899591318740903,0.29062430261281774,0.6500510517448732,0.6868187096328943,0.9295939754967006,0.8444231419224488,0.8702224043280384,0.9803021906258016,0.5790778724973373,0.6167990172585743,0.9029802192097971,
182,1,184.898784623349,191.08540681468764,0,36.43617476,152,15,0.3013253029595383,-0.09584808898255627,-0.18253602623810222,-0.061617777608382364,0.1499383856454601,0.6668816248393377,0.7005716295008628,0.9432311479244105,0.6937113100457579,0.7267692255633854,0.9515390464451672,0.42549025751928765,0.45616088210419836,0.8291379702805776,
183,1,204.79751880357108,206.61635243343613,0,36.09730783,147,20,0.357306429012509,-0.15231516073064505,-0.11918688917922263,0.01752381393287821,0.2782645578400861,0.6196273475198707,0.6564492129622971,0.9212061588532688,0.6634757957141568,0.6995218549175434,0.9367062604606448,0.32173002871654194,0.35137486199485335,0.7470847572960319,
184,1,205.4709447124311,208.56335218425602,0,35.689195755,145,22,0.33577747353231197,-0.06820615035853747,-0.06401542771008378,-0.039066935955729416,0.1847026210419999,0.660037643603547,0.6931649123280691,0.9148114021015821,0.7131282926111473,0.7443398987733292,0.9338439391676633,0.5040849263613151,0.5391025670873332,0.8458680067386252,
185,1,197.35413470151929,197.99209420903304,0,36.624364005000004,146,21,0.33482058067761455,-0.1493028413098869,-0.10641303447168032,-0.12841186819417882,0.16707381760485202,0.665544493948505,0.6999687597474176,0.9156311742217335,0.7210644971458291,0.753724371719572,0.9355355954227486,0.3657420254601819,0.3959614905005967,0.7543043324730668,
186,1,203.00115608979317,197.1009372402536,1,35.64644873,145,22,0.32043848849235557,-0.24099411042485486,-0.06869247767309489,0.01448355614140594,0.2117326339232364,0.641555277572792,0.6751964055380708,0.920155289899412,0.7188948212762917,0.7502350031851585,0.947068296026687,0.37012459580853146,0.4004915503040904,0.7682095390284958,
187,1,193.57003556406804,195.51308079860502,0,29.756464415,56,111,0.3180774947265794,-0.1844032986073256,-0.03720500086464155,-0.041613734292261166,0.22231850364220412,0.6814664548208086,0.7155353495622864,0.9232079999020956,0.7978624358860988,0.8258914776271432,0.9596148372486307,0.6053502567282103,0.6411980266315266,0.8939502271501663,
