重复序号,截距,孕周一次项,孕周二次项,妇间BMI效应,个体内BMI效应,年龄效应,生产次数效应,曲线最低点孕周
25,-2.8079599310910335,0.04089180322629919,0.004027660505262481,-0.03086915927322025,0.012760676008152061,-0.0068606616121612484,0.1993700736277557,12.923628347911825
27,-2.9507842790655707,0.04287325348128293,0.0061065213752418196,-0.022771017182889496,0.0018124022744084754,-0.026915431908142187,0.19713357936193138,14.489551837556196
28,-2.917279567261856,0.04694405323724842,0.005472062711691476,-0.042118782147670175,-0.0030273742772004416,-0.014619693941483967,0.20002849224430444,13.71057061015137
29,-2.8678231831211667,0.04854636796105687,0.004617267466109741,-0.041501128662196206,-0.03158088033415402,-0.0185538692048621,0.17294612414544344,12.742954754366936
30,-2.8902830823906256,0.047811622644633726,0.005920064653583897,-0.022892219943004468,-0.06603816735780746,-0.022326458641066575,0.14575832363508806,13.961900296503565
31,-2.896954674928028,0.049727610455718274,0.005768705462708048,-0.039720813223943593,-0.018777796375623077,-0.024356471173420085,0.17399773359539722,13.689881310704477
32,-2.8423782194764975,0.05060708189723361,0.004479923832364253,-0.027314276303963644,0.02290635936313898,-0.004128468188386643,0.06865301476621698,12.351792151952054
33,-2.979641779731079,0.043552054483652736,0.004190854971586822,-0.04016279364840848,0.0006507599006330639,-0.020554448710114692,0.21524782852216665,12.803917723361085
34,-2.834707910399917,0.045296497911653924,0.004599480677937376,-0.02683538807192292,-0.024835881469564922,-0.020240818459685107,0.1036366017115405,13.075911707931446
35,-2.9365917805211974,0.05446937222014519,0.0058393718468104745,-0.027401082675463692,-0.10377234199216061,-0.014558394942261051,0.13923986456926507,13.336024691603008
36,-2.811444581423566,0.04763045215916008,0.003840864501397061,-0.04601385870100583,-0.007929593724063268,-0.03246506331655302,0.10360391710474773,11.799514127374819
37,-2.906805303681731,0.041663886814315716,0.004752746217374012,-0.028124914083366287,0.020962425327973943,-0.02189974962995527,0.23897543447170547,13.616861819592815
38,-2.986472804430409,0.04105885654234226,0.0066521652593535515,-0.03122667317191179,-0.007184066493333113,-0.035855750496395715,0.2168267777534951,14.913872781151237
39,-2.957888170195991,0.04575253256800763,0.006814100175045124,-0.03432443344865505,-0.009123095246645377,-0.007332883056339947,0.2470859454557874,14.642804523511085
40,-2.8664175034587824,0.04713114672436856,0.005291446280805322,-0.042737553970166535,-0.0338123588671721,-0.0170190635713177,0.24785484818392273,13.546477822581663
41,-2.9506694925740566,0.0477328769924363,0.004679386007054186,-0.024891523602974034,0.021428927325333292,-0.0049509897241954695,0.24640701239156915,12.899664515763513
42,-2.955002894959248,0.04619509427880144,0.005831691061416922,-0.019180308697907208,-0.032696211345676,-0.015150451322539499,0.23276754146175008,14.039305426822676
43,-2.9692526249890308,0.047992603044677305,0.00528975716746589,-0.03672155428814866,-0.003150748888674715,-0.016195118978541017,0.2947440719972502,13.463628903435218
44,-2.845550184690452,0.048636931112146085,0.004748732813003439,-0.018486187692024397,0.003918521078209553,-0.002072078186320828,0.17746658074496757,12.878956868349832
45,-2.8577129729683732,0.04548106486358845,0.004361620444504485,-0.04207949938362631,-0.016527161780112,-0.011620124792551579,0.1143912123696369,12.786219314326942
46,-2.899905753353166,0.04684278348646961,0.004415644765693403,-0.03454041543928275,-0.004422658576449421,-0.024295681714474465,0.20151432026648539,12.69581612968432
47,-2.9328330331417027,0.03980036831790131,0.004881278980732836,-0.03742148125478205,-0.005945620693981637,-0.027244253531887353,0.2117341350032355,13.923161893122732
48,-2.9027260171554747,0.047766299563264746,0.005136761562441928,-0.028209263093879253,-0.0065643805040689965,-0.023330747736362057,0.19655800091527476,13.350543432606061
49,-2.8862482370919933,0.04702745780670626,0.006829169870837784,-0.03449731757589382,-0.0367915083851587,-0.025908373596881286,0.12562762398934157,14.556868646105514
50,-2.8729794052327113,0.045858796239995,0.004786284182824606,-0.017290019825752387,0.0003123001585738629,-0.014121341115209083,0.15371699231495461,13.20935296690515
51,-2.884159710706292,0.042723134972176904,0.003409719945260933,-0.032288085498106404,0.0012087370805611815,-0.01719384912063391,0.26338690130828124,11.73509618707007
52,-2.8964691308967048,0.0486207307613758,0.005840125560776056,-0.02839445333009095,-0.01869567869336124,-0.021073179388882354,0.09785166738104481,13.837355699342627
53,-2.874986550390555,0.04856048760670576,0.0041429967003584174,-0.029122716191352833,-0.02345042768249855,-0.005496939573131713,0.17514029682381319,12.139448915985774
54,-2.938198834175625,0.04729666104995891,0.005259870231912555,-0.02478424558959122,-0.06310420924741082,-0.007977940740342252,0.22333733650902526,13.504008752630266
55,-2.8977354300014366,0.04085611864098381,0.005208510818877912,-0.05521011861634357,0.007458014913206258,-0.015251694142466264,0.16621062915780394,14.077946263171476
56,-2.976386929311607,0.04684238044754709,0.005921517004281488,-0.016556684974112182,-0.020961231744646428,-0.014205258286389534,0.2539928297639412,14.044731408043056
57,-2.873690241723014,0.04904695248176607,0.005162978174674673,-0.03203876684140824,-0.0061987307552328055,-0.016378275595673435,0.11243470039328407,13.25012978726599
58,-2.8471358671799014,0.04201449026580865,0.0060330438749680425,-0.03658685128286258,-0.016573876010210896,-0.018060400690284098,0.11839040348103234,14.517969110076196
59,-2.888793993524749,0.05412004069656043,0.006229636969921932,-0.038125624486090096,-0.014345704068515533,-0.026051169336922503,0.210242388783821,13.656244420191419
60,-2.824162162781837,0.05003301831592821,0.004951022499429442,-0.05328645886127083,-0.0934574590296024,-0.01790793158978085,0.13491938478625243,12.947203499712025
61,-2.8939425515343937,0.0425830368951409,0.005496991701160516,-0.023959261979259416,-0.005239264127914647,-0.017942479397508603,0.14565137196599845,14.126696272240066
62,-2.9438155019907484,0.046559050187634614,0.006061924368291494,-0.015626354101709927,-0.01770485129504568,-0.014078812591954556,0.2086315361160425,14.159713701545495
63,-2.9479127456259246,0.03697385908576558,0.005608871686721589,-0.044774449933923106,0.006232316926830952,-0.02715360103658437,0.22062852741614217,14.7039842279422
64,-2.8925778920919596,0.04700316236560166,0.005108267158466271,-0.029064655758580513,-0.023370186377066404,-0.022615719349230654,0.1670647902468479,13.399304606876306
65,-2.890674636165443,0.04606339414590559,0.004664157064192759,-0.04111792551294629,0.007684162787610034,-0.025706360548163353,0.20239293609110337,13.061980813259993
66,-2.8937257129274045,0.04628013124397242,0.0052088168866150295,-0.029715693021881606,-0.05525013038096247,-0.01070519474188958,0.18853781609447984,13.557519850342853
67,-2.887581037825552,0.049833172697271305,0.00488567192300981,-0.03661786396162819,-0.03479698197854363,-0.007912347075985588,0.09949090488258147,12.900069685136405
68,-2.8759619218465504,0.048085171396026485,0.005312673098141826,-0.030745428722506376,-0.0179940860693391,-0.027723079827581612,0.12959488066497787,13.474484265477873
69,-2.887212140761502,0.04669536336982115,0.0048604595115094166,-0.034130877418469846,-0.02282049591455377,-0.004247100118134177,0.10515796851163636,13.196404449080587
