孕周数,孕妇平均BMI,BMI个体内偏差,年龄,生产次数,典型孕妇预测Y浓度,固定效应95%区间下限,固定效应95%区间上限
24.25,32.0,0.0,29.0,0,0.08245722690077838,0.07550861715556524,0.09028990930130873
24.5,32.0,0.0,29.0,0,0.08457712455966619,0.07722657267104645,0.09254213564017084
24.75,32.0,0.0,29.0,0,0.08679671082773938,0.07925995033432792,0.09489314517957805
25.0,32.0,0.0,29.0,0,0.0891204358077763,0.08159457985285416,0.0973809466283875
25.25,32.0,0.0,29.0,0,0.09155296108961102,0.08349234383559513,0.10063897016458077
25.5,32.0,0.0,29.0,0,0.09409916637487448,0.08530983353356116,0.10438790220587388
11.0,36.0,0.0,29.0,0,0.04309041359094121,0.03942255030540243,0.04806014175264311
11.25,36.0,0.0,29.0,0,0.042844822020929305,0.03930012308426716,0.047723096227490436
11.5,36.0,0.0,29.0,0,0.04262648558598054,0.039191588437370244,0.04741055632489649
11.75,36.0,0.0,29.0,0,0.042435018946209054,0.03893760945135774,0.047121578837446075
12.0,36.0,0.0,29.0,0,0.042270084951253596,0.038654330356027,0.04665402515645191
12.25,36.0,0.0,29.0,0,0.042131393751371315,0.03851317190093025,0.0463735830374834
12.5,36.0,0.0,29.0,0,0.04201870203342856,0.03842173726528157,0.04630226167946153
12.75,36.0,0.0,29.0,0,0.04193181237970648,0.038373546590833404,0.04625719703959214
13.0,36.0,0.0,29.0,0,0.041870572747762326,0.038349343821231625,0.046189907987187154
13.25,36.0,0.0,29.0,0,0.04183487606991219,0.03825971614151953,0.046101434422324054
13.5,36.0,0.0,29.0,0,0.0418246599712276,0.038245758183970115,0.04602013915394147
13.75,36.0,0.0,29.0,0,0.04183990660526255,0.03830689628881439,0.04598296081206116
14.0,36.0,0.0,29.0,0,0.0418806426070545,0.03830231931455452,0.046039679830487505
14.25,36.0,0.0,29.0,0,0.04194693916326869,0.038321385564069596,0.04617691454753952
14.5,36.0,0.0,29.0,0,0.042038912199680624,0.038365325224604015,0.046299684608431105
14.75,36.0,0.0,29.0,0,0.04215672268651808,0.03843616589639733,0.04638566423469825
15.0,36.0,0.0,29.0,0,0.042300577062509934,0.038534050565377516,0.04649964288741711
15.25,36.0,0.0,29.0,0,0.04247072777881363,0.03865917697433219,0.04666193256176197
15.5,36.0,0.0,29.0,0,0.04266747396432081,0.03881179823021682,0.04692295116016079
15.75,36.0,0.0,29.0,0,0.04289116221416259,0.03899222358169798,0.047211750202313246
16.0,36.0,0.0,29.0,0,0.04314218750356219,0.03920081936952285,0.04752879998594355
16.25,36.0,0.0,29.0,0,0.04342099422950432,0.03936442314944712,0.04785153362346662
16.5,36.0,0.0,29.0,0,0.04372807738301104,0.039533956513808755,0.04817385542382077
16.75,36.0,0.0,29.0,0,0.04406398385513237,0.03979801319504789,0.04856417556264866
17.0,36.0,0.0,29.0,0,0.04442931388007387,0.040169247176487004,0.049020798546772916
17.25,36.0,0.0,29.0,0,0.044824722619191924,0.0405792400498941,0.049514411563792875
17.5,36.0,0.0,29.0,0,0.04525092188989102,0.040937574139438736,0.05004598886862106
17.75,36.0,0.0,29.0,0,0.04570868204374962,0.04127630712417487,0.05061658423879122
18.0,36.0,0.0,29.0,0,0.046198833998485574,0.04164160804692221,0.051200589654033256
18.25,36.0,0.0,29.0,0,0.04672227142864066,0.04203410336954841,0.05181259914836263
18.5,36.0,0.0,29.0,0,0.04727995312011537,0.04245446901978348,0.052461450203048515
18.75,36.0,0.0,29.0,0,0.0478729054939175,0.04291839743583122,0.05314827301903067
19.0,36.0,0.0,29.0,0,0.04850222530469277,0.04346121297854709,0.05387426974065933
19.25,36.0,0.0,29.0,0,0.04916908251978047,0.044040275228072426,0.05464071735991935
19.5,36.0,0.0,29.0,0,0.04987472338467519,0.04465586940429048,0.05544458571059269
19.75,36.0,0.0,29.0,0,0.05062047368086763,0.045313998788037664,0.056287130863703405
20.0,36.0,0.0,29.0,0,0.05140774218207807,0.04601696305912865,0.05717364355496046
20.25,36.0,0.0,29.0,0,0.0522380243148739,0.04675363125605468,0.05810568676768139
20.5,36.0,0.0,29.0,0,0.053112906029565816,0.04752912271507624,0.05925468274918471
20.75,36.0,0.0,29.0,0,0.054034067887095444,0.0483489075843367,0.06031618030358511
21.0,36.0,0.0,29.0,0,0.05500328936734479,0.049223797435490546,0.06137023982415168
21.25,36.0,0.0,29.0,0,0.05602245340389716,0.05014797538579945,0.06248106458172273
21.5,36.0,0.0,29.0,0,0.05709355114974507,0.05115429578576141,0.06364595768303591
21.75,36.0,0.0,29.0,0,0.058218686977748096,0.05225806636879451,0.06486702696140721
22.0,36.0,0.0,29.0,0,0.05940008371877281,0.053427747122321595,0.06614649257529191
22.25,36.0,0.0,29.0,0,0.06064008813936822,0.054615419407834515,0.06763086373177994
22.5,36.0,0.0,29.0,0,0.06194117665951548,0.05574715735583682,0.06931689890856882
22.75,36.0,0.0,29.0,0,0.06330596130940766,0.05693607469310582,0.0710933612627966
23.0,36.0,0.0,29.0,0,0.06473719592232455,0.058184649323872656,0.07296463368076862
23.25,36.0,0.0,29.0,0,0.06623778255842952,0.059499253744260974,0.07493535232915624
23.5,36.0,0.0,29.0,0,0.06781077815168614,0.0608643618890003,0.07701041832520618
23.75,36.0,0.0,29.0,0,0.06945940136901947,0.06223148276542565,0.07919500964259198
24.0,36.0,0.0,29.0,0,0.07118703966727677,0.06366386184192417,0.08134546778894448
24.25,36.0,0.0,29.0,0,0.07299725652941767,0.06516523298874335,0.08331579603873086
24.5,36.0,0.0,29.0,0,0.07489379885661503,0.06675753262717567,0.08536094665415214
24.75,36.0,0.0,29.0,0,0.07688060448751241,0.06843576709899518,0.08749358023785285
