随机种子,折号,候选模型,测试事件数,测试孕妇数,收敛,优化器,均方根误差_RMSE,平均绝对误差_MAE,决定系数_R2,异常
20250825,4,原尺度样条随机斜率,123,33,1,lbfgs,0.039894880611472956,0.029192993393454266,0.09118699370199801,
20250825,5,原尺度样条随机斜率,119,33,1,lbfgs,0.03145031877035568,0.022118036299879882,0.1807520632966524,
20250825,1,logit线性随机斜率,121,34,1,lbfgs,0.025304581828409927,0.020893275278470475,0.12302186278029081,
20250825,2,logit线性随机斜率,126,34,1,lbfgs,0.026698200278262925,0.021166379198987114,-0.06051097748191614,
20250825,3,logit线性随机斜率,124,33,1,lbfgs,0.039255052299325126,0.027668589032068078,0.04728198408454498,
20250825,4,logit线性随机斜率,123,33,1,lbfgs,0.04225095718546598,0.02981301000857512,-0.01932646185168707,
20250825,5,logit线性随机斜率,119,33,1,lbfgs,0.032920874374598855,0.02265823857310656,0.10234805561988247,
20250825,1,logit二次随机截距,121,34,1,powell,0.025193494150272836,0.020969618864090923,0.13070486852989083,lbfgs:LinAlgError:Singular matrix
20250825,2,logit二次随机截距,126,34,1,lbfgs,0.02698516535238788,0.021410535529398096,-0.08343126038175219,
20250825,3,logit二次随机截距,124,33,1,powell,0.03828481493684457,0.026536503695195914,0.09379519329191266,lbfgs:LinAlgError:Singular matrix
20250825,4,logit二次随机截距,123,33,1,lbfgs,0.04163335821749803,0.029872799363312753,0.010255537304949214,
20250825,5,logit二次随机截距,119,33,1,lbfgs,0.032652104137858386,0.022877847302986264,0.11694531542614739,
20250825,1,logit二次随机斜率,121,34,1,lbfgs,0.025226890798891087,0.021015096807882192,0.12839865518184135,
20250825,2,logit二次随机斜率,126,34,1,lbfgs,0.02702502734691093,0.021423294311671382,-0.08663447433042704,
20250825,3,logit二次随机斜率,124,33,1,lbfgs,0.03815820057076659,0.026412800170709513,0.09977922729728084,
20250825,4,logit二次随机斜率,123,33,1,lbfgs,0.041577884639872505,0.029919781184148914,0.012891312572179903,
20250825,5,logit二次随机斜率,119,33,1,lbfgs,0.03260841585897314,0.022847811453406894,0.11930677610649354,
20250825,1,logit样条随机斜率,121,34,1,lbfgs,0.02534343222921816,0.021102673851106753,0.12032692736387574,
20250825,2,logit样条随机斜率,126,34,1,lbfgs,0.027009801704247046,0.02142191299438486,-0.08541042023903356,
20250825,3,logit样条随机斜率,124,33,1,lbfgs,0.038154167578431306,0.026428966427438846,0.09996950836721641,
20250825,4,logit样条随机斜率,123,33,1,lbfgs,0.04159083286834622,0.029933892389230353,0.012276403992379059,
20250825,5,logit样条随机斜率,119,33,1,lbfgs,0.03261533707979621,0.02288095986234016,0.11893287758923865,
20250826,1,原尺度线性随机斜率,127,34,1,lbfgs,0.039434910498904574,0.027929458576439675,0.10434431693539037,
20250826,2,原尺度线性随机斜率,125,34,1,lbfgs,0.03091227203799404,0.023235486936894575,0.07647783627376104,
20250826,3,原尺度线性随机斜率,121,33,1,lbfgs,0.026867583556053138,0.020610605242509718,0.2386914688446945,
20250826,4,原尺度线性随机斜率,127,33,1,lbfgs,0.030312618065967165,0.025091332619617473,0.13220364934338125,
20250826,5,原尺度线性随机斜率,113,33,1,lbfgs,0.03645437335123983,0.026263079112691424,0.11077991970645584,
20250826,1,原尺度二次随机斜率,127,34,1,lbfgs,0.039356688125910234,0.028116029528117138,0.10789400561716533,
20250826,2,原尺度二次随机斜率,125,34,1,lbfgs,0.03065839933454875,0.022736469789583658,0.09158473668360056,
20250826,3,原尺度二次随机斜率,121,33,1,lbfgs,0.026876256186366958,0.02096129756237542,0.23819990152118575,
20250826,4,原尺度二次随机斜率,127,33,1,lbfgs,0.029203772567340764,0.02430425657428368,0.19453098293076265,
20250826,5,原尺度二次随机斜率,113,33,1,lbfgs,0.03529199049561371,0.02559812673945527,0.16658311642754908,
20250826,1,原尺度样条随机斜率,127,34,1,lbfgs,0.03934311605470911,0.028057195100793516,0.10850918128306697,
20250826,2,原尺度样条随机斜率,125,34,1,lbfgs,0.030609151216953862,0.022700786356497336,0.09450085823260213,
20250826,3,原尺度样条随机斜率,121,33,1,lbfgs,0.027124004018194342,0.02105213323536763,0.22409048042856694,
20250826,4,原尺度样条随机斜率,127,33,1,lbfgs,0.029156608032985365,0.024306334999778818,0.19713057133491763,
20250826,5,原尺度样条随机斜率,113,33,1,lbfgs,0.035383824964278054,0.025661704906742373,0.16224014939388687,
20250826,1,logit线性随机斜率,127,34,1,lbfgs,0.03988536045383001,0.02689741734791269,0.08376598805541458,
20250826,2,logit线性随机斜率,125,34,1,lbfgs,0.032285500979529924,0.023152669922552875,-0.00739671154099808,
20250826,3,logit线性随机斜率,121,33,1,lbfgs,0.026472226197738556,0.01933669002654835,0.26093198021883135,
20250826,4,logit线性随机斜率,127,33,1,lbfgs,0.030562006213034634,0.025055750879936712,0.11786583255229555,
20250826,5,logit线性随机斜率,113,33,1,lbfgs,0.038172575478073595,0.02647395019926719,0.024981374327144423,
20250826,1,logit二次随机截距,127,34,1,powell,0.03980394669589369,0.027147218339006456,0.08750259330336896,lbfgs:LinAlgError:Singular matrix
20250826,2,logit二次随机截距,125,34,1,lbfgs,0.03201882435526196,0.022687825873304177,0.00917664999419876,
20250826,3,logit二次随机截距,121,33,1,lbfgs,0.026378077551068538,0.01970031731005377,0.2661796324917296,
20250826,4,logit二次随机截距,127,33,1,lbfgs,0.029884854344881893,0.02443205209361982,0.1565230646781921,
20250826,5,logit二次随机截距,113,33,1,lbfgs,0.03720282821924647,0.026015749028471705,0.0738914346983297,
20250826,1,logit二次随机斜率,127,34,1,lbfgs,0.03985505261066723,0.027170753804980064,0.08515790358134634,
20250826,2,logit二次随机斜率,125,34,1,lbfgs,0.031919367100071955,0.02263872060251227,0.015322504664928682,
20250826,3,logit二次随机斜率,121,33,1,lbfgs,0.026373967979953113,0.019787213079261845,0.26640826568654774,
20250826,4,logit二次随机斜率,127,33,1,lbfgs,0.02989495388130343,0.024411815517823763,0.1559528651132034,
20250826,5,logit二次随机斜率,113,33,1,lbfgs,0.03721487939034851,0.026113461891640863,0.07329134588980213,
20250826,1,logit样条随机斜率,127,34,1,lbfgs,0.039843436604865695,0.027137008579286324,0.08569109883655324,
20250826,2,logit样条随机斜率,125,34,1,lbfgs,0.03193298685358818,0.022653471966633355,0.014482016447380675,
20250826,3,logit样条随机斜率,121,33,1,lbfgs,0.02659903530025671,0.019912902624499587,0.2538343508055291,
20250826,4,logit样条随机斜率,127,33,1,lbfgs,0.029865615933023695,0.024404723318727277,0.15760869376383801,
20250826,5,logit样条随机斜率,113,33,1,lbfgs,0.03725404240658819,0.02617933705809237,0.07133987900614869,
20250827,1,原尺度线性随机斜率,121,34,1,lbfgs,0.03107093302406213,0.02507831450458259,0.19038583151862554,
20250827,2,原尺度线性随机斜率,123,34,1,lbfgs,0.03215741982257542,0.023844581550498015,0.08994345047596897,
20250827,3,原尺度线性随机斜率,122,33,1,lbfgs,0.03254745466102002,0.02400325967720286,0.19975827681629954,
20250827,4,原尺度线性随机斜率,130,33,1,lbfgs,0.03198132939761857,0.025422158817187856,-0.03140546281326784,
20250827,5,原尺度线性随机斜率,117,33,1,lbfgs,0.036534803791944674,0.024910534119820544,0.1949980851402745,
20250827,1,原尺度二次随机斜率,121,34,1,lbfgs,0.030509247731189387,0.024187177536301563,0.21939287874696267,
20250827,2,原尺度二次随机斜率,123,34,1,lbfgs,0.03143355449055533,0.023868894199162473,0.13045317083135854,
20250827,3,原尺度二次随机斜率,122,33,1,lbfgs,0.03234141687113849,0.02418036736452679,0.2098578782137428,
20250827,4,原尺度二次随机斜率,130,33,1,lbfgs,0.03161576286791789,0.02510376658050399,-0.007961010697260074,
20250827,5,原尺度二次随机斜率,117,33,1,lbfgs,0.035725740132378656,0.024323574475019722,0.23025686469718842,
20250827,1,原尺度样条随机斜率,121,34,1,lbfgs,0.030511689317069633,0.024198558967019435,0.21926793331367866,
20250827,2,原尺度样条随机斜率,123,34,1,lbfgs,0.03135375089252146,0.02378379681413957,0.13486278210313707,
20250827,3,原尺度样条随机斜率,122,33,1,lbfgs,0.03236064275970971,0.02416730196425796,0.20891817295751003,
20250827,4,原尺度样条随机斜率,130,33,1,lbfgs,0.031699360711524766,0.025230129717851112,-0.013298523579193144,
20250827,5,原尺度样条随机斜率,117,33,1,lbfgs,0.03568956425136267,0.024284193526155188,0.2318149590837626,
20250827,1,logit线性随机斜率,121,34,1,lbfgs,0.031386958248029805,0.024680969828698787,0.1738327606147113,
20250827,2,logit线性随机斜率,123,34,1,lbfgs,0.0337559941316343,0.024243384077814793,-0.0027849191435393994,
20250827,3,logit线性随机斜率,122,33,1,lbfgs,0.033464247935339114,0.023947995933438607,0.15404109167298707,
20250827,4,logit线性随机斜率,130,33,1,lbfgs,0.03108775123928319,0.023342561254643044,0.025425556740090394,
20250827,5,logit线性随机斜率,117,33,1,lbfgs,0.037869681422581764,0.024932819295434543,0.13509848456761342,
20250827,1,logit二次随机截距,121,34,1,lbfgs,0.03096517979411848,0.024103549009149797,0.19588766862359452,
