复核类型,请求前缀次数,有效次数,统计量,中位数,2.5%分位,97.5%分位
检测误差传播,200,200,固定效应_首次年龄标准化,-0.08569175352410459,-0.09986644466010461,-0.075249740093421
检测误差传播,200,200,固定效应_首次身高标准化,-0.043190009261343795,-0.05791264418468568,-0.02966325235055818
检测误差传播,200,200,固定效应_首次生产次数,0.18274716088379983,0.1676054775660527,0.2012222586093313
检测误差传播,200,200,一组第1组_12周0天已达标比例,0.6234107132177684,0.5964677923374873,0.6443638132269988
检测误差传播,200,200,一组第1组_13周0天已达标比例,0.6588608138007686,0.6340088943695844,0.6791960044687996
检测误差传播,200,200,一组第1组_25周0天已达标比例,0.9203615794692918,0.9061825118287481,0.9305668066330008
检测误差传播,200,200,两组第1组_12周0天已达标比例,0.6577753891425728,0.6290644750784427,0.7613005613533165
检测误差传播,200,200,两组第1组_13周0天已达标比例,0.6921463409161746,0.6650790441906469,0.7925058859628987
检测误差传播,200,200,两组第1组_25周0天已达标比例,0.9331827739590517,0.9196805190409849,0.9708969633375228
检测误差传播,200,200,两组第2组_12周0天已达标比例,0.39600474174214073,0.3187080546057718,0.5864504933548634
检测误差传播,200,200,两组第2组_13周0天已达标比例,0.4274295528356456,0.34967282904015634,0.6223804875959702
检测误差传播,200,200,两组第2组_25周0天已达标比例,0.8010529400971242,0.7394543093273431,0.9088513490238164
检测误差传播,400,400,抽样技术误差标准差,0.00486626997872765,0.0035908166884356346,0.007076013777643993
检测误差传播,400,400,达标事件数,485.0,475.0,493.025
检测误差传播,400,400,一组方案BIC,210.3060168660882,204.59708387331847,216.46680476149848
检测误差传播,400,400,两组方案BIC,215.5945670608189,209.40737182704507,222.18512305908192
检测误差传播,400,400,BIC两组挑战胜出标志,0.0,0.0,0.0
检测误差传播,400,400,两组切点,36.43617476,29.716817785,36.999319045
检测误差传播,400,400,两组低BMI组人数,151.0,44.0,153.0
检测误差传播,400,400,两组高BMI组人数,16.0,14.0,123.0
检测误差传播,400,400,固定效应_孕周标准化,0.3508696770467523,0.33565383084130934,0.37040061127684776
检测误差传播,400,400,固定效应_首次BMI标准化,-0.12628253872356218,-0.14514366848284804,-0.10936892781454491
检测误差传播,400,400,固定效应_首次年龄标准化,-0.08596467405257516,-0.10066506869424649,-0.07474248937011456
检测误差传播,400,400,固定效应_首次身高标准化,-0.043554474608599125,-0.058929083784271634,-0.028900648371899807
检测误差传播,400,400,固定效应_首次生产次数,0.1827003728797282,0.16763868307524185,0.19822921260832074
检测误差传播,400,400,一组第1组_12周0天已达标比例,0.6242063190890621,0.5977697258343051,0.6454191119610249
检测误差传播,400,400,一组第1组_13周0天已达标比例,0.6595862497960412,0.6347021128746171,0.6803244684478399
检测误差传播,400,400,一组第1组_25周0天已达标比例,0.920529148671787,0.906431452929619,0.9324943893391646
检测误差传播,400,400,两组第1组_12周0天已达标比例,0.6579862417805584,0.6284830610897785,0.7530916012254237
检测误差传播,400,400,两组第1组_13周0天已达标比例,0.6924040774839664,0.6650790441906469,0.7830822924083184
检测误差传播,400,400,两组第1组_25周0天已达标比例,0.933002102813515,0.9196858699604152,0.9708969633375228
检测误差传播,400,400,两组第2组_12周0天已达标比例,0.3960179827085277,0.31795168808209034,0.5863884700035449
检测误差传播,400,400,两组第2组_13周0天已达标比例,0.4290390957714228,0.3457019290221474,0.6223710471874161
检测误差传播,400,400,两组第2组_25周0天已达标比例,0.7995546652618364,0.7392933069211568,0.9088502561018349
