重复序号,截距,孕周一次项,孕周二次项,妇间BMI效应,个体内BMI效应,年龄效应,生产次数效应,曲线最低点孕周
327,-2.8590445760645835,0.04291240696554245,0.005646945595286253,-0.04251818007129104,-0.026565579802401516,-0.030290532241586784,0.09853645328860987,14.200387781195973
328,-2.8731492936605236,0.05056047087088453,0.0055053720981121795,-0.04354137314048056,0.015880039938052336,-0.027848731541849605,0.21738926791938523,13.408078693879567
329,-2.7965701047835365,0.04558725654187772,0.004685195729132774,-0.044941286376950544,-0.00822759550715463,-0.009049702916981131,0.07598325200644931,13.134967760427386
330,-2.9413172146178734,0.05122073783063403,0.006324399793908601,-0.03065796420519113,-0.04779376346946688,-0.018836012613577802,0.22015422786143812,13.950545545842333
331,-2.9060721164002628,0.05274303184363772,0.004231651885775381,-0.04688717461358167,-0.02389413418394676,-0.009215887181295391,0.21750220513789678,11.768032760334986
332,-2.84215138948258,0.05082892645658639,0.004784369403027219,-0.033394057427538766,-0.048990419823950984,-0.0026085177715562853,0.16864892893135452,12.688022372977162
333,-2.93152836672959,0.03984126969938241,0.006042036988831166,-0.053163278272715844,-0.008530029491560662,-0.012420524137616748,0.16590473460758737,14.702993562185249
334,-2.9266937992228983,0.04437061479550832,0.005566286099690954,-0.029286247389463983,-0.006962771042722895,-0.015435150542760751,0.1889922928902745,14.014342956790182
335,-2.9193201191918456,0.052244447563236124,0.005370989733457715,-0.029349283650643734,-0.040281316686849096,-0.01085815187873344,0.2256810018230419,13.136422693401576
336,-2.7974889999424297,0.05454498115193257,0.0034440234154234535,-0.03615648575212825,-0.01763748155086463,-0.032356941618285305,0.12890917771706886,10.08121220842134
337,-2.877375100032979,0.0396726566650536,0.00462255951131467,-0.03332737087970145,0.00842275976756047,-0.018834316703978896,0.24309444586922452,13.708799792847818
338,-2.938245543883723,0.04355306808499293,0.006555791930095615,-0.0337063355877755,-0.07164001897082557,-0.0020059254026517665,0.15888480307560063,14.678275595885353
339,-2.9234148545891125,0.04996775710967058,0.005949351322115602,-0.04823629739413641,-0.033261352456809654,-0.02757877388494704,0.24367389601072542,13.800570986291834
340,-2.7937834060383087,0.04882914970778533,0.004756719013613448,-0.027564970722739387,-0.03526426646425543,-0.006895216324074081,0.13397612907624196,12.867349787948458
341,-2.895309929496579,0.045077515461235756,0.005092114597473237,-0.03172815173132268,-0.05989633895553565,-0.023942933439337018,0.1985148724209452,13.57379212522007
342,-2.898196250989457,0.05082516940882369,0.003763310874553539,-0.041624556695893745,-0.013995929429486846,-0.01649626540650909,0.27840648559113,11.247279974597722
343,-2.892775928038091,0.053416606828933524,0.006496426456248646,-0.015813230462264745,-0.13938573713765537,2.88516989229375e-05,0.19490957066607664,13.888769988494653
344,-2.9232298328803883,0.046870744900186063,0.005856327976690564,-0.036420005545814045,-0.01134842692507732,-0.028869453057120652,0.2588069395983425,13.998282107257172
345,-2.915936706001694,0.05147951700799273,0.005565211162102196,-0.04665916072609675,-0.08218668366374314,-0.009131789477048433,0.21895396024814473,13.374881966873389
346,-2.9171437037554178,0.05053118246196251,0.0051874300324637156,-0.03313687244763628,-0.010082713074141443,-0.015429531180508582,0.14580784153130819,13.1294588894953
347,-2.871722892635953,0.04669756044650824,0.003710379300885641,-0.02919820560756066,0.007848523288826023,-0.003142830525457698,0.14079067036165047,11.707171604347584
349,-2.8890687220327647,0.04488763314148644,0.006244343437490502,-0.03223832223879141,-0.02750648801056879,-0.011891342887610687,0.11732513798764523,14.405736360368575
350,-2.8777676999071375,0.048501993361981306,0.004956186382767432,-0.026811494768659183,-0.01358895010116523,-0.017415737035788213,0.15295808715121922,13.106923991940473
