BMI水平,孕妇平均BMI,孕周数,Beta回归-孕周变精度-二次孕周预测Y浓度,分数logit GEE-二次孕周预测Y浓度,高斯GEE-二次孕周预测Y浓度
妇间BMI第25百分位,30.04853764,22.993997599039616,0.09019809488748057,0.09022937093645847,0.09091981094922089
妇间BMI第25百分位,30.04853764,23.11764705882353,0.09114715085347427,0.09121095115264231,0.09178303527816584
妇间BMI第25百分位,30.04853764,23.24129651860744,0.09211727103816601,0.09221476878367563,0.0926578672552371
妇间BMI第25百分位,30.04853764,23.364945978391358,0.09310886504914226,0.09324126812750735,0.0935443068804347
妇间BMI第25百分位,30.04853764,23.48859543817527,0.09412235173700845,0.0942909036979,0.09444235415375857
妇间BMI第25百分位,30.04853764,23.612244897959187,0.09515815933512616,0.09536414038113115,0.09535200907520879
妇间BMI第25百分位,30.04853764,23.7358943577431,0.0962167255983588,0.09646145359137989,0.09627327164478526
妇间BMI第25百分位,30.04853764,23.859543817527012,0.0972984979405264,0.09758332942443386,0.09720614186248804
妇间BMI第25百分位,30.04853764,23.983193277310924,0.09840393357024962,0.09873026480932459,0.09815061972831712
妇间BMI第25百分位,30.04853764,24.106842737094837,0.09953349962483989,0.09990276765747436,0.09910670524227252
妇间BMI第25百分位,30.04853764,24.230492196878753,0.10068767330187095,0.10110135700890722,0.10007439840435425
妇间BMI第25百分位,30.04853764,24.354141656662666,0.10186694198804166,0.10232656317504801,0.10105369921456227
妇间BMI第25百分位,30.04853764,24.477791116446582,0.10307180338491678,0.10357892787760235,0.10204460767289661
妇间BMI第25百分位,30.04853764,24.601440576230495,0.10430276563110272,0.10485900438297557,0.10304712377935721
妇间BMI第25百分位,30.04853764,24.725090036014407,0.10556034742039141,0.10616735763165805,0.10406124753394412
妇间BMI第25百分位,30.04853764,24.84873949579832,0.1068450781153738,0.1075045643619648,0.10508697893665735
妇间BMI第25百分位,30.04853764,24.972388955582232,0.1081574978559955,0.10887121322748243,0.10612431798749687
妇间BMI第25百分位,30.04853764,25.096038415366145,0.10949815766249613,0.11026790490753681,0.10717326468646271
妇间BMI第25百分位,30.04853764,25.21968787515006,0.11086761953214053,0.11169525220995428,0.10823381903355488
妇间BMI第25百分位,30.04853764,25.343337334933977,0.11226645652911667,0.1131538801653469,0.10930598102877334
妇间BMI第25百分位,30.04853764,25.46698679471789,0.11369525286693925,0.11464442611211005,0.11038975067211808
妇间BMI第25百分位,30.04853764,25.590636254501803,0.11515460398266299,0.11616753977127334,0.11148512796358913
妇间BMI第25百分位,30.04853764,25.714285714285715,0.11664511660216906,0.11772388331029979,0.11259211290318649
妇间BMI中位数,31.46875,11.0,0.05862051439270009,0.05833447026983183,0.059984406817959954
妇间BMI中位数,31.46875,11.123649459783914,0.058482049996055024,0.058183621735099555,0.05972168927865338
妇间BMI中位数,31.46875,11.247298919567827,0.05835183513194877,0.05804139534824967,0.0594705793874731
妇间BMI中位数,31.46875,11.370948379351741,0.05822981943410297,0.057907733513155694,0.059231077144419136
妇间BMI中位数,31.46875,11.494597839135654,0.05811595574811956,0.05778258215311179,0.05900318254949148
妇间BMI中位数,31.46875,11.618247298919568,0.05801020010556553,0.05766589067972038,0.05878689560269012
妇间BMI中位数,31.46875,11.741896758703481,0.05791251169979654,0.05755761196377068,0.05858221630401507
妇间BMI中位数,31.46875,11.865546218487395,0.057822852863508876,0.05745770230809542,0.05838914465346632
妇间BMI中位数,31.46875,11.989195678271308,0.057741189048009824,0.05736612142239258,0.05820768065104388
妇间BMI中位数,31.46875,12.112845138055222,0.05766748880419701,0.057282832400000754,0.05803782429674774
妇间BMI中位数,31.46875,12.236494597839135,0.057601723765238574,0.05720780169661672,0.05787957559057791
妇间BMI中位数,31.46875,12.36014405762305,0.05754386863094584,0.05714099911094608,0.05773293453253438
妇间BMI中位数,31.46875,12.483793517406962,0.05749390115383174,0.05708239776727618,0.05759790112261715
妇间BMI中位数,31.46875,12.607442977190876,0.05745180212684842,0.057031974099964675,0.057474475360826234
妇间BMI中位数,31.46875,12.73109243697479,0.05741755537279887,0.05698970783983494,0.057362657247161615
妇间BMI中位数,31.46875,12.854741896758703,0.05739114773541672,0.05695558200247215,0.0572624467816233
妇间BMI中位数,31.46875,12.978391356542618,0.05737256907211125,0.05692958287841481,0.057173843964211296
妇间BMI中位数,31.46875,13.10204081632653,0.05736181224837352,0.05691170002523618,0.057096848794925596
妇间BMI中位数,31.46875,13.225690276110445,0.05735887313384096,0.05690192626151203,0.057031461273766196
妇间BMI中位数,31.46875,13.349339735894358,0.05736375060001932,0.05690025766267222,0.0569776814007331
妇间BMI中位数,31.46875,13.472989195678272,0.057376446519660035,0.05690669355873307,0.056935509175826314
妇间BMI中位数,31.46875,13.596638655462185,0.057396965767793205,0.0569212365339104,0.05690494459904583
妇间BMI中位数,31.46875,13.720288115246099,0.05742531622441678,0.05694389242811261,0.05688598767039165
妇间BMI中位数,31.46875,13.843937575030012,0.05746150877884277,0.0569746703403144,0.056878638389863775
妇间BMI中位数,31.46875,13.967587034813926,0.05750555733570289,0.05701358263381292,0.05688289675746221
妇间BMI中位数,31.46875,14.09123649459784,0.05755747882261611,0.05706064494336924,0.056898762773186944
妇间BMI中位数,31.46875,14.214885954381753,0.05761729319952205,0.057115876184238,0.05692623643703798
妇间BMI中位数,31.46875,14.338535414165666,0.05768502346968401,0.05717929856309038,0.05696531774901532
妇间BMI中位数,31.46875,14.46218487394958,0.05776069569236726,0.05725093759083498,0.057016006709118966
妇间BMI中位数,31.46875,14.585834333733494,0.057844338997197965,0.05733082209734334,0.05707830331734892
妇间BMI中位数,31.46875,14.709483793517407,0.057935985600209405,0.05741898424808726,0.057152207573705184
妇间BMI中位数,31.46875,14.833133253301321,0.058035670821583,0.05751545956269543,0.05723771947818774
妇间BMI中位数,31.46875,14.956782713085234,0.05814343310509182,0.057620286935438775,0.05733483903079661
妇间BMI中位数,31.46875,15.080432172869148,0.05825931403925546,0.05773350865765399,0.05744356623153178
妇间BMI中位数,31.46875,15.204081632653061,0.058383358380215696,0.05785517044211591,0.057563901080393255
妇间BMI中位数,31.46875,15.327731092436975,0.058515614076342974,0.05798532144937025,0.05769584357738103
妇间BMI中位数,31.46875,15.45138055222089,0.05865613229458481,0.058124014316038794,0.05783939372249512
妇间BMI中位数,31.46875,15.575030012004802,0.05880496744856677,0.05827130518511036,0.05799455151573551
妇间BMI中位数,31.46875,15.698679471788715,0.05896217722845912,0.05842725373823112,0.058161316957102194
妇间BMI中位数,31.46875,15.82232893157263,0.059127822632621126,0.058591923230009044,0.0583396900465952
妇间BMI中位数,31.46875,15.945978391356544,0.05930196800103643,0.058765380524347745,0.058529670784214505
妇间BMI中位数,31.46875,16.069627851140456,0.05948468105055392,0.05894769613282596,0.0587312591699601
妇间BMI中位数,31.46875,16.19327731092437,0.05967603291194748,0.05913894425513919,0.058944455203832014
妇间BMI中位数,31.46875,16.316926770708285,0.05987609816881068,0.05933920282162107,0.05916925888583024
妇间BMI中位数,31.46875,16.440576230492198,0.060084954898301304,0.05954855353786227,0.059405670215954755
妇间BMI中位数,31.46875,16.56422569027611,0.0603026847137516,0.059767081931446205,0.05965368919420558
妇间BMI中位数,31.46875,16.687875150060023,0.060529372809160716,0.059994877400819546,0.05991331582058271
妇间BMI中位数,31.46875,16.81152460984394,0.06076510800558657,0.06023203326631856,0.060184550095086144
妇间BMI中位数,31.46875,16.935174069627852,0.06100998279945323,0.06047864682337041,0.06046739201771588
妇间BMI中位数,31.46875,17.058823529411764,0.061264093412792264,0.060734819397890216,0.06076184158847192
妇间BMI中位数,31.46875,17.18247298919568,0.06152753984543523,0.06100065640389529,0.061067898807354276
妇间BMI中位数,31.46875,17.306122448979593,0.06180042592917528,0.06127626740335685,0.061385563674362924
妇间BMI中位数,31.46875,17.429771908763506,0.062082859383916375,0.06156176616831144,0.061714836189497885
妇间BMI中位数,31.46875,17.55342136854742,0.062374951875827575,0.0618572707452533,0.062055716352759145
妇间BMI中位数,31.46875,17.67707082833133,0.06267681907752143,0.06216290352182947,0.0624082041641467
妇间BMI中位数,31.46875,17.800720288115247,0.06298858073027444,0.06247879129585917,0.06277229962366059
妇间BMI中位数,31.46875,17.92436974789916,0.06331036070830752,0.06280506534669976,0.06314800273130075
妇间BMI中位数,31.46875,18.048019207683073,0.06364228708514473,0.06314186150897999,0.06353531348706723
妇间BMI中位数,31.46875,18.17166866746699,0.06398449220206842,0.06348932024872224,0.06393423189096002
妇间BMI中位数,31.46875,18.2953181272509,0.06433711273868702,0.06384758674187516,0.0643447579429791
妇间BMI中位数,31.46875,18.418967587034814,0.0647002897856343,0.06421681095527586,0.06476689164312449
妇间BMI中位数,31.46875,18.542617046818727,0.06507416891941493,0.06459714773006345,0.0652006329913962
妇间BMI中位数,31.46875,18.666266506602643,0.0654589002794133,0.06498875686756134,0.06564598198779421
妇间BMI中位数,31.46875,18.789915966386555,0.06585463864708038,0.06539180321764769,0.06610293863231852
妇间BMI中位数,31.46875,18.913565426170468,0.06626154352731299,0.06580645676963155,0.06657150292496912
妇间BMI中位数,31.46875,19.037214885954384,0.06667977923203908,0.06623289274565028,0.06705167486574604
妇间BMI中位数,31.46875,19.160864345738297,0.06710951496602068,0.06667129169660366,0.06754345445464925
妇间BMI中位数,31.46875,19.28451380552221,0.06755092491488623,0.06712183960063856,0.06804684169167878
妇间BMI中位数,31.46875,19.408163265306122,0.0680041883354014,0.06758472796419525,0.06856183657683461
妇间BMI中位数,31.46875,19.531812725090035,0.06846948964798627,0.06806015392562605,0.06908843911011674
妇间BMI中位数,31.46875,19.65546218487395,0.0689470185314859,0.06854832036139417,0.06962664929152519
妇间BMI中位数,31.46875,19.779111644657863,0.06943697002019748,0.06904943599485804,0.07017646712105993
妇间BMI中位数,31.46875,19.90276110444178,0.06993954460315742,0.069563715507645,0.07073789259872099
妇间BMI中位数,31.46875,20.026410564225692,0.07045494832568718,0.07009137965361407,0.07131092572450833
妇间BMI中位数,31.46875,20.150060024009605,0.07098339289319615,0.07063265537540553,0.07189556649842199
妇间BMI中位数,31.46875,20.273709483793517,0.07152509577723504,0.0711877759235711,0.07249181492046194
妇间BMI中位数,31.46875,20.39735894357743,0.07208028032379224,0.07175698097827557,0.07309967099062821
妇间BMI中位数,31.46875,20.521008403361346,0.0726491758638205,0.0723405167735554,0.07371913470892079
妇间BMI中位数,31.46875,20.64465786314526,0.07323201782597907,0.0729386362241171,0.07435020607533965
妇间BMI中位数,31.46875,20.768307322929175,0.07382904785157166,0.07355159905465322,0.07499288508988484
妇间BMI中位数,31.46875,20.891956782713088,0.07444051391165696,0.07417967193164661,0.07564717175255634
妇间BMI中位数,31.46875,21.015606242497,0.07506667042630329,0.0748231285976321,0.07631306606335411
妇间BMI中位数,31.46875,21.139255702280913,0.07570777838595504,0.07548225000787494,0.0769905680222782
妇间BMI中位数,31.46875,21.262905162064826,0.07636410547487235,0.07615732446942124,0.0776796776293286
妇间BMI中位数,31.46875,21.386554621848738,0.07703592619660048,0.07684864778246887,0.0783803948845053
妇间BMI中位数,31.46875,21.510204081632654,0.07772352200141874,0.07755652338399811,0.07909271978780831
妇间BMI中位数,31.46875,21.633853541416567,0.0784271814157133,0.07828126249359554,0.07981665233923761
妇间BMI中位数,31.46875,21.757503001200483,0.07914720017320999,0.07902318426139576,0.08055219253879325
妇间BMI中位数,31.46875,21.881152460984396,0.07988388134799691,0.0797826159180546,0.08129934038647517
妇间BMI中位数,31.46875,22.00480192076831,0.08063753548925844,0.08055989292666123,0.0820580958822834
妇间BMI中位数,31.46875,22.12845138055222,0.08140848075763314,0.08135535913648304,0.08282845902621791
妇间BMI中位数,31.46875,22.252100840336134,0.08219704306310016,0.08216936693842769,0.08361042981827875
妇间BMI中位数,31.46875,22.37575030012005,0.08300355620428836,0.08300227742209587,0.08440400825846589
妇间BMI中位数,31.46875,22.499399759903962,0.08382836200909242,0.08385446053428294,0.08520919434677933
妇间BMI中位数,31.46875,22.62304921968788,0.08467181047646963,0.0847262952387777,0.0860259880832191
妇间BMI中位数,31.46875,22.74669867947179,0.08553425991927882,0.08561816967729013,0.08685438946778515
妇间BMI中位数,31.46875,22.870348139255704,0.08641607710801194,0.0865304813313256,0.0876943985004775
妇间BMI中位数,31.46875,22.993997599039616,0.08731763741525429,0.08746363718480733,0.08854601518129615
妇间BMI中位数,31.46875,23.11764705882353,0.08823932496069718,0.08841805388723159,0.0894092395102411
妇间BMI中位数,31.46875,23.24129651860744,0.08918153275651122,0.0893941579171227,0.09028407148731236
妇间BMI中位数,31.46875,23.364945978391358,0.0901446628528737,0.09039238574553529,0.09117051111250997
妇间BMI中位数,31.46875,23.48859543817527,0.09112912648342697,0.09141318399933213,0.09206855838583383
妇间BMI中位数,31.46875,23.612244897959187,0.09213534421042845,0.0924570096239437,0.09297821330728405
妇间BMI中位数,31.46875,23.7358943577431,0.09316374606933307,0.09352433004529409,0.09389947587686052
妇间BMI中位数,31.46875,23.859543817527012,0.0942147717125322,0.09461562333055427,0.0948323460945633
妇间BMI中位数,31.46875,23.983193277310924,0.09528887055195125,0.09573137834735788,0.09577682396039239
妇间BMI中位数,31.46875,24.106842737094837,0.0963865019001882,0.09687209492109024,0.09673290947434779
妇间BMI中位数,31.46875,24.230492196878753,0.09750813510985284,0.09803828398983254,0.09770060263642952
妇间BMI中位数,31.46875,24.354141656662666,0.09865424971074237,0.0992304677565144,0.09867990344663753
妇间BMI中位数,31.46875,24.477791116446582,0.09982533554446735,0.10044917983779918,0.09967081190497187
妇间BMI中位数,31.46875,24.601440576230495,0.10102189289611217,0.10169496540919142,0.10067332801143247
妇间BMI中位数,31.46875,24.725090036014407,0.10224443262249183,0.10296838134582698,0.10168745176601938
妇间BMI中位数,31.46875,24.84873949579832,0.10349347627653577,0.10426999635836727,0.10271318316873261
妇间BMI中位数,31.46875,24.972388955582232,0.10476955622730146,0.10560039112338544,0.10375052221957214
妇间BMI中位数,31.46875,25.096038415366145,0.10607321577509012,0.10696015840759343,0.10479946891853797
妇间BMI中位数,31.46875,25.21968787515006,0.10740500926110433,0.10834990318521899,0.10586002326563014
妇间BMI中位数,31.46875,25.343337334933977,0.10876550217105482,0.10977024274780055,0.1069321852608486
妇间BMI中位数,31.46875,25.46698679471789,0.11015527123208835,0.1112218068056258,0.10801595490419334
妇间BMI中位数,31.46875,25.590636254501803,0.11157490450237445,0.11270523757999386,0.10911133219566439
妇间BMI中位数,31.46875,25.714285714285715,0.11302500145264874,0.114221189885435,0.11021831713526176
妇间BMI第75百分位,34.37967465125,11.0,0.054719406711115554,0.05460447117213247,0.055118979074544855
妇间BMI第75百分位,34.37967465125,11.123649459783914,0.05458962256821482,0.05446271027091519,0.05485626153523828
妇间BMI第75百分位,34.37967465125,11.247298919567827,0.05446757311754232,0.0543290547496173,0.054605151644058
妇间BMI第75百分位,34.37967465125,11.370948379351741,0.05435321072528086,0.05420345001490937,0.05436564940100404
妇间BMI第75百分位,34.37967465125,11.494597839135654,0.05424649079807226,0.054085844812811146,0.05413775480607638
妇间BMI第75百分位,34.37967465125,11.618247298919568,0.05414737175795423,0.05397619119856223,0.05392146785927502
妇间BMI第75百分位,34.37967465125,11.741896758703481,0.054055815018984196,0.05387444450842752,0.05371678856059997
妇间BMI第75百分位,34.37967465125,11.865546218487395,0.053971784965538804,0.05378056333342338,0.05352371691005122
妇间BMI第75百分位,34.37967465125,11.989195678271308,0.053895248932278185,0.05369450949495096,0.053342252907628784
妇间BMI第75百分位,34.37967465125,12.112845138055222,0.053826177185765364,0.0536162480223242,0.05317239655333264
妇间BMI第75百分位,34.37967465125,12.236494597839135,0.053764542907731847,0.05354574713218079,0.05301414784716281
妇间BMI第75百分位,34.37967465125,12.36014405762305,0.05371032217998076,0.05348297820976589,0.05286750678911928
妇间BMI第75百分位,34.37967465125,12.483793517406962,0.05366349397092014,0.05342791579207786,0.052732473379202054
妇间BMI第75百分位,34.37967465125,12.607442977190876,0.05362404012371971,0.0533805375528684,0.052609047617411135
妇间BMI第75百分位,34.37967465125,12.73109243697479,0.053591945346085336,0.053340824289488144,0.052497229503746516
妇间BMI第75百分位,34.37967465125,12.854741896758703,0.053567197201645295,0.05330875991157114,0.052397019038208204
妇间BMI第75百分位,34.37967465125,12.978391356542618,0.05354978610294501,0.053284331431552666,0.0523084162207962
妇间BMI第75百分位,34.37967465125,13.10204081632653,0.053539705306046105,0.05326752895701453,0.0522314210515105
妇间BMI第75百分位,34.37967465125,13.225690276110445,0.05353695090672677,0.05325834568485425,0.0521660335303511
妇间BMI第75百分位,34.37967465125,13.349339735894358,0.05354152183828241,0.05325677789727513,0.052112253657318
妇间BMI第75百分位,34.37967465125,13.472989195678272,0.05355341987092453,0.05326282495959465,0.052070081432411215
妇间BMI第75百分位,34.37967465125,13.596638655462185,0.05357264961277807,0.053276489319870335,0.052039516855630734
妇间BMI第75百分位,34.37967465125,13.720288115246099,0.05359921851247762,0.053297776510342884,0.05202055992697655
妇间BMI第75百分位,34.37967465125,13.843937575030012,0.05363313686336374,0.05332669515069717,0.05201321064644868
妇间BMI第75百分位,34.37967465125,13.967587034813926,0.05367441780928153,0.053363256953142785,0.052017469014047114
