组数K,孕妇等权负对数似然,参数计数,贝叶斯信息准则
107,50.65571176016823,222,1237.5060498768562
108,50.65571176016823,224,1247.7420375016895
109,50.65571176016823,226,1257.9780251265233
110,50.65571176016823,228,1268.2140127513567
111,50.65571176016823,230,1278.45000037619
112,50.65571176016823,232,1288.6859880010238
113,50.65571176016823,234,1298.9219756258572
114,50.65571176016823,236,1309.157963250691
115,50.65571176016823,238,1319.3939508755243
116,50.65571176016823,240,1329.6299385003576
117,50.65571176016823,242,1339.8659261251914
118,50.65571176016823,244,1350.1019137500248
119,50.65571176016823,246,1360.3379013748581
120,50.65571176016823,248,1370.573888999692
121,50.65571176016823,250,1380.8098766245253
122,50.65571176016823,252,1391.045864249359
123,50.65571176016823,254,1401.2818518741924
124,50.65571176016823,256,1411.5178394990257
125,50.65571176016823,258,1421.7538271238595
126,50.65571176016823,260,1431.9898147486929
127,50.65571176016823,262,1442.2258023735262
128,50.65571176016823,264,1452.46178999836
129,50.65571176016823,266,1462.6977776231934
130,50.65571176016823,268,1472.9337652480267
131,50.65571176016823,270,1483.1697528728605
132,50.65571176016823,272,1493.4057404976938
133,50.65571176016823,274,1503.6417281225276
134,50.65571176016823,276,1513.877715747361
135,50.65571176016823,278,1524.1137033721943
136,50.65571176016823,280,1534.3496909970281
137,50.65571176016823,282,1544.5856786218615
138,50.65571176016823,284,1554.8216662466948
139,50.65571176016823,286,1565.0576538715286
